phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
mean_corpuscular_volume	1	23817932	23817947	1_23158187_24010498	A	{11.0: 0.0, 13.0: 28865.02, 14.0: 475331.77, 15.0: 111416.86, 16.0: 53853.42, 17.0: 1707.19}	2.27e-11	+	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.304, 0.371, 0.457, 0.421, 0.17	NA, NA, NA, NA, NA	{11.0: 0.0, 13.0: 1018.63, 14.0: 2094.97, 15.0: 7225.33, 16.0: 3218.84, 17.0: 16.72}	{11.0: 0.0, 13.0: 333.86, 14.0: 7707.4, 15.0: 4076.49, 16.0: 1199.96, 17.0: 258.35}	{11.0: 0.0, 13.0: 1.05, 14.0: 1575.79, 15.0: 889.61, 16.0: 341.38, 17.0: 12.17}	{11.0: 0.0, 13.0: 846.42, 14.0: 15814.09, 15.0: 3816.86, 16.0: 1914.05, 17.0: 54.87}	{11.0: 0.0, 13.0: 1672.48, 14.0: 20750.69, 15.0: 4827.41, 16.0: 2332.25, 17.0: 111.48}
mean_sphered_cell_volume	1	23817932	23817947	1_23428614_24010498	A	{11.0: 0.0, 13.0: 28443.29, 14.0: 468345.17, 15.0: 109908.91, 16.0: 53158.71, 17.0: 1694.14}	9.32e-10	+	not	0.0	0.0										0.266, 0.24, 0.448, 0.38, 0.0483	NA, NA, NA, NA, +	{11.0: 0.0, 13.0: 984.03, 14.0: 2035.29, 15.0: 7054.85, 16.0: 3136.02, 17.0: 16.31}	{11.0: 0.0, 13.0: 330.9, 14.0: 7514.52, 15.0: 3992.41, 16.0: 1171.83, 17.0: 252.4}	{11.0: 0.0, 13.0: 1.05, 14.0: 1537.7, 15.0: 869.64, 16.0: 339.53, 17.0: 12.08}	{11.0: 0.0, 13.0: 814.25, 14.0: 15561.44, 15.0: 3730.43, 16.0: 1900.07, 17.0: 54.08}	{11.0: 0.0, 13.0: 1638.32, 14.0: 20295.29, 15.0: 4725.12, 16.0: 2284.4, 17.0: 109.17}
shbg	1	23817932	23817947	1_23477620_23955827	A	{11.0: 0.0, 13.0: 26169.68, 14.0: 431520.67, 15.0: 101269.13, 16.0: 48803.49, 17.0: 1556.93}	9.16e-17	-	confidently	0.996282868707666	1.0	0.998176738660093	1.0	1.0	1.0	1.0	1.0	0.984921849027138	1.0	1.0	0.649, 0.285, 0.338, 0.132, 0.0571	NA, NA, NA, NA, NA	{11.0: 0.0, 13.0: 919.79, 14.0: 1922.04, 15.0: 6616.07, 16.0: 2925.94, 17.0: 14.69}	{11.0: 0.0, 13.0: 305.91, 14.0: 6899.09, 15.0: 3704.45, 16.0: 1084.81, 17.0: 229.81}	{11.0: 0.0, 13.0: 1.05, 14.0: 1402.99, 15.0: 797.24, 16.0: 305.16, 17.0: 11.56}	{11.0: 0.0, 13.0: 743.41, 14.0: 14145.59, 15.0: 3411.62, 16.0: 1761.76, 17.0: 49.89}	{11.0: 0.0, 13.0: 1485.12, 14.0: 18542.7, 15.0: 4333.77, 16.0: 2070.83, 17.0: 99.85}
total_protein	1	23817932	23817947	1_23595185_23949623	A	{11.0: 0.0, 13.0: 26360.79, 14.0: 434628.65, 15.0: 101968.1, 16.0: 49229.56, 17.0: 1560.87}	3.64e-10	-	not	0.0	0.534325										0.891, 0.785, 0.587, 0.0667, 0.0614	NA, NA, NA, NA, NA	{11.0: 0.0, 13.0: 930.57, 14.0: 1936.48, 15.0: 6693.21, 16.0: 2943.49, 17.0: 14.78}	{11.0: 0.0, 13.0: 310.73, 14.0: 6951.16, 15.0: 3726.91, 16.0: 1083.62, 17.0: 229.65}	{11.0: 0.0, 13.0: 1.05, 14.0: 1415.78, 15.0: 796.59, 16.0: 306.98, 17.0: 11.6}	{11.0: 0.0, 13.0: 747.2, 14.0: 14269.46, 15.0: 3464.15, 16.0: 1774.07, 17.0: 51.39}	{11.0: 0.0, 13.0: 1502.27, 14.0: 18674.38, 15.0: 4365.18, 16.0: 2101.39, 17.0: 101.05}
alanine_aminotransferase	1	27247247	27247280	1_26808591_27493126	A	{33.0: 20.35, 34.0: 557057.5, 35.0: 51328.98, 36.0: 36587.35, 37.0: 16197.73}	1.05e-12	+	not	0.0	0.0										0.46, 0.491, 0.23, 0.569, 0.452	NA, NA, NA, NA, NA	{33.0: 5.7, 34.0: 10411.56, 35.0: 2206.32, 36.0: 791.58, 37.0: 48.86}	{33.0: 16.66, 34.0: 11871.48, 35.0: 990.48, 36.0: 461.74, 37.0: 81.75}	{33.0: 22.47, 34.0: 2592.44, 35.0: 134.78, 36.0: 12.06, 37.0: 2.25}	{33.0: 0.67, 34.0: 18434.95, 35.0: 1812.34, 36.0: 1298.67, 37.0: 531.84}	{33.0: 2.98, 34.0: 24670.07, 35.0: 2365.79, 36.0: 1476.56, 37.0: 661.09}
apolipoprotein_a	1	27247247	27247280	1_26808591_27460529	A	{33.0: 19.09, 34.0: 515119.56, 35.0: 47216.07, 36.0: 33829.93, 37.0: 14992.19}	6.43e-24	-	not	0.017796455244976	0.603183										0.457, 0.724, 0.48, 0.598, 0.0136	NA, NA, NA, NA, -	{33.0: 5.5, 34.0: 9657.51, 35.0: 2041.67, 36.0: 719.46, 37.0: 43.88}	{33.0: 15.19, 34.0: 10827.49, 35.0: 925.27, 36.0: 429.05, 37.0: 79.11}	{33.0: 20.46, 34.0: 2348.22, 35.0: 123.01, 36.0: 12.06, 37.0: 2.25}	{33.0: 0.59, 34.0: 16895.72, 35.0: 1653.48, 36.0: 1192.26, 37.0: 474.39}	{33.0: 2.7, 34.0: 22446.94, 35.0: 2174.68, 36.0: 1367.44, 37.0: 600.71}
apolipoprotein_b	1	27247247	27247280	1_26633044_27529784	A	{33.0: 20.42, 34.0: 554979.87, 35.0: 51073.71, 36.0: 36481.16, 37.0: 16118.64}	1.74e-14	+	not	0.0	0.0										0.57, 0.912, 0.91, 0.699, 0.305	NA, NA, NA, NA, NA	{33.0: 5.79, 34.0: 10339.28, 35.0: 2176.78, 36.0: 783.59, 37.0: 50.58}	{33.0: 16.78, 34.0: 11780.18, 35.0: 984.44, 36.0: 460.84, 37.0: 81.87}	{33.0: 22.24, 34.0: 2578.79, 35.0: 132.66, 36.0: 12.06, 37.0: 2.25}	{33.0: 0.68, 34.0: 18316.08, 35.0: 1813.5, 36.0: 1303.09, 37.0: 519.12}	{33.0: 2.97, 34.0: 24556.07, 35.0: 2363.8, 36.0: 1474.43, 37.0: 657.22}
creatinine	1	27247247	27247280	1_26808591_27493126	A	{33.0: 20.55, 34.0: 557060.89, 35.0: 51253.72, 36.0: 36580.47, 37.0: 16210.24}	2.25e-14	-	not	0.0	0.0										0.708, 0.367, 0.798, 0.0245, 0.097	NA, NA, NA, -, NA	{33.0: 5.65, 34.0: 10408.96, 35.0: 2201.29, 36.0: 793.31, 37.0: 48.81}	{33.0: 16.88, 34.0: 11897.22, 35.0: 983.19, 36.0: 459.79, 37.0: 83.03}	{33.0: 22.3, 34.0: 2592.55, 35.0: 134.84, 36.0: 12.06, 37.0: 2.25}	{33.0: 0.65, 34.0: 18451.88, 35.0: 1800.56, 36.0: 1299.88, 37.0: 525.46}	{33.0: 2.99, 34.0: 24662.9, 35.0: 2370.98, 36.0: 1479.54, 37.0: 658.08}
eosinophil_count	1	27247247	27247280	1_27104369_27417462	A	{33.0: 20.97, 34.0: 564604.23, 35.0: 52007.18, 36.0: 37185.12, 37.0: 16360.64}	1.88e-8	+	not	0.0	0.0648949										0.62, 0.946, 0.829, 0.934, 0.0848	NA, NA, NA, NA, NA	{33.0: 5.75, 34.0: 10473.45, 35.0: 2214.14, 36.0: 791.8, 37.0: 50.88}	{33.0: 17.05, 34.0: 11975.15, 35.0: 993.97, 36.0: 467.06, 37.0: 88.88}	{33.0: 23.03, 34.0: 2646.3, 35.0: 138.36, 36.0: 11.06, 37.0: 1.25}	{33.0: 0.67, 34.0: 18700.56, 35.0: 1835.42, 36.0: 1313.13, 37.0: 546.69}	{33.0: 3.1, 34.0: 25085.55, 35.0: 2381.93, 36.0: 1500.45, 37.0: 671.46}
eosinophil_percent	1	27247247	27247280	1_26867928_27423564	A	{33.0: 20.74, 34.0: 564662.65, 35.0: 52046.82, 36.0: 37114.46, 37.0: 16339.58}	9.21e-10	+	not	0.0	0.022108										0.945, 0.307, 0.88, 0.96, 0.0427	NA, NA, NA, NA, +	{33.0: 5.8, 34.0: 10483.51, 35.0: 2205.33, 36.0: 792.45, 37.0: 48.93}	{33.0: 17.16, 34.0: 11968.49, 35.0: 1006.74, 36.0: 465.58, 37.0: 84.14}	{33.0: 23.2, 34.0: 2647.14, 35.0: 137.35, 36.0: 11.06, 37.0: 1.25}	{33.0: 0.7, 34.0: 18702.07, 35.0: 1843.0, 36.0: 1309.52, 37.0: 543.19}	{33.0: 3.1, 34.0: 25083.58, 35.0: 2379.87, 36.0: 1503.49, 37.0: 672.45}
gamma_glutamyltransferase	1	27247247	27247280	1_26867928_27472994	A	{33.0: 20.49, 34.0: 557045.33, 35.0: 51225.77, 36.0: 36632.91, 37.0: 16199.48}	1.52e-16	-	confidently	0.953704620921002	0.991997	0.951746339029815	1.0	0.990599	1.0	1.0	0.992	0.0	0.969835	1.0	0.111, 0.809, 0.835, 0.618, 0.0918	NA, NA, NA, NA, NA	{33.0: 5.74, 34.0: 10424.87, 35.0: 2194.37, 36.0: 785.44, 37.0: 49.6}	{33.0: 16.73, 34.0: 11890.08, 35.0: 985.72, 36.0: 464.02, 37.0: 83.56}	{33.0: 22.33, 34.0: 2592.55, 35.0: 134.81, 36.0: 12.06, 37.0: 2.25}	{33.0: 0.69, 34.0: 18430.3, 35.0: 1810.26, 36.0: 1299.17, 37.0: 532.02}	{33.0: 3.0, 34.0: 24649.59, 35.0: 2363.3, 36.0: 1479.38, 37.0: 659.22}
hdl_cholesterol	1	27247247	27247280	1_26808591_27493126	A	{33.0: 19.24, 34.0: 517488.76, 35.0: 47540.55, 36.0: 33970.43, 37.0: 15091.86}	6.51e-31	-	singly	0.971615407073977	0.300917	0.984188548698765	0.334799	0.135535	0.0958932	0.335223	0.300917	0.942793744104693	0.0187382	0.046955	0.858, 0.942, 0.336, 0.499, 0.0139	NA, NA, NA, NA, -	{33.0: 5.66, 34.0: 9692.41, 35.0: 2052.03, 36.0: 724.21, 37.0: 41.71}	{33.0: 15.32, 34.0: 10844.31, 35.0: 922.53, 36.0: 430.84, 37.0: 81.11}	{33.0: 20.73, 34.0: 2372.34, 35.0: 124.62, 36.0: 12.06, 37.0: 2.25}	{33.0: 0.6, 34.0: 16977.57, 35.0: 1664.12, 36.0: 1200.98, 37.0: 473.17}	{33.0: 2.69, 34.0: 22621.21, 35.0: 2175.39, 36.0: 1372.37, 37.0: 602.81}
igf_1	1	27247247	27247280	1_25976658_27529784	A	{33.0: 20.27, 34.0: 554761.51, 35.0: 51028.78, 36.0: 36499.55, 37.0: 16097.84}	1.05e-31	-	not	0.0	0.0										0.395, 0.0309, 0.865, 0.305, 0.0015	NA, -, NA, NA, -	{33.0: 5.74, 34.0: 10362.41, 35.0: 2182.06, 36.0: 778.5, 37.0: 47.31}	{33.0: 16.74, 34.0: 11809.06, 35.0: 982.88, 36.0: 465.7, 37.0: 83.73}	{33.0: 22.35, 34.0: 2581.22, 35.0: 134.12, 36.0: 12.06, 37.0: 2.25}	{33.0: 0.66, 34.0: 18336.46, 35.0: 1817.74, 36.0: 1294.18, 37.0: 529.41}	{33.0: 2.97, 34.0: 24547.21, 35.0: 2361.44, 36.0: 1473.65, 37.0: 655.22}
platelet_count	1	27247247	27247280	1_26833696_27493126	A	{33.0: 21.1, 34.0: 565477.32, 35.0: 52109.27, 36.0: 37147.35, 37.0: 16431.13}	2.55e-15	+	not	0.0	0.0										0.685, 0.967, 0.822, 0.792, 0.209	NA, NA, NA, NA, NA	{33.0: 5.78, 34.0: 10508.53, 35.0: 2214.21, 36.0: 795.76, 37.0: 49.74}	{33.0: 17.04, 34.0: 12000.78, 35.0: 1002.8, 36.0: 471.48, 37.0: 84.01}	{33.0: 23.2, 34.0: 2646.12, 35.0: 138.37, 36.0: 11.06, 37.0: 1.25}	{33.0: 0.69, 34.0: 18737.91, 35.0: 1840.84, 36.0: 1320.02, 37.0: 547.04}	{33.0: 3.1, 34.0: 25128.26, 35.0: 2383.19, 36.0: 1507.36, 37.0: 672.58}
platelet_crit	1	27247247	27247280	1_26808591_27493126	A	{33.0: 21.05, 34.0: 565231.2, 35.0: 52024.8, 36.0: 37208.84, 37.0: 16412.39}	3.31e-20	+	not	0.0	0.0										0.464, 0.883, 0.613, 0.234, 0.094	NA, NA, NA, NA, NA	{33.0: 5.79, 34.0: 10510.32, 35.0: 2215.64, 36.0: 791.73, 37.0: 50.54}	{33.0: 17.11, 34.0: 12003.3, 35.0: 1000.93, 36.0: 465.98, 37.0: 88.79}	{33.0: 23.13, 34.0: 2647.32, 35.0: 137.24, 36.0: 11.06, 37.0: 1.25}	{33.0: 0.71, 34.0: 18754.77, 35.0: 1835.08, 36.0: 1310.63, 37.0: 545.29}	{33.0: 3.11, 34.0: 25119.41, 35.0: 2388.94, 36.0: 1510.09, 37.0: 672.94}
shbg	1	27247247	27247280	1_26493142_28147862	A	{33.0: 19.11, 34.0: 513457.89, 35.0: 47231.0, 36.0: 33715.36, 37.0: 14907.31}	7.17e-54	-	not	0.0	0.0										0.258, 0.402, 0.383, 0.015, 0.176	NA, NA, NA, -, NA	{33.0: 5.66, 34.0: 9605.62, 35.0: 2021.86, 36.0: 720.44, 37.0: 44.44}	{33.0: 15.18, 34.0: 10779.51, 35.0: 917.56, 36.0: 429.54, 37.0: 82.32}	{33.0: 20.36, 34.0: 2360.91, 35.0: 122.42, 36.0: 12.06, 37.0: 2.25}	{33.0: 0.61, 34.0: 16790.79, 35.0: 1654.15, 36.0: 1195.38, 37.0: 471.51}	{33.0: 2.67, 34.0: 22403.31, 35.0: 2161.39, 36.0: 1366.1, 37.0: 599.0}
triglycerides	1	27247247	27247280	1_26808591_27493126	A	{33.0: 20.55, 34.0: 556852.71, 35.0: 51246.45, 36.0: 36641.6, 37.0: 16182.64}	7.84e-22	+	not	0.0	0.0										0.701, 0.54, 0.988, 0.129, 0.911	NA, NA, NA, NA, NA	{33.0: 5.79, 34.0: 10411.71, 35.0: 2200.15, 36.0: 791.46, 37.0: 48.91}	{33.0: 16.75, 34.0: 11874.48, 35.0: 991.17, 36.0: 467.03, 37.0: 80.68}	{33.0: 22.53, 34.0: 2591.6, 35.0: 135.56, 36.0: 12.06, 37.0: 2.25}	{33.0: 0.64, 34.0: 18419.71, 35.0: 1812.07, 36.0: 1309.89, 37.0: 526.15}	{33.0: 2.96, 34.0: 24658.45, 35.0: 2366.43, 36.0: 1477.46, 37.0: 657.19}
urate	1	27247247	27247280	1_26808591_27985948	A	{33.0: 20.49, 34.0: 556698.79, 35.0: 51214.72, 36.0: 36573.82, 37.0: 16169.98}	5.07e-27	+	not	0.0	0.0										0.655, 0.981, 0.321, 0.893, 0.163	NA, NA, NA, NA, NA	{33.0: 5.62, 34.0: 10412.68, 35.0: 2194.28, 36.0: 788.49, 37.0: 48.95}	{33.0: 16.79, 34.0: 11877.81, 35.0: 986.96, 36.0: 458.4, 37.0: 82.15}	{33.0: 22.3, 34.0: 2590.52, 35.0: 134.87, 36.0: 12.06, 37.0: 2.25}	{33.0: 0.68, 34.0: 18407.67, 35.0: 1823.9, 36.0: 1310.06, 37.0: 528.15}	{33.0: 2.98, 34.0: 24657.38, 35.0: 2362.48, 36.0: 1480.38, 37.0: 659.26}
alkaline_phosphatase	1	93858126	93858136	1_92816357_94132922	A	{10.0: 121476.49, 11.0: 122132.54, 12.0: 417377.13, 13.0: 417.84}	4.61e-12	-	not	0.027318282168019	0.0509572										0.671, 0.113, 0.758, 0.786, 0.0139	NA, NA, NA, NA, -	{10.0: 2682.86, 11.0: 8082.09, 12.0: 2702.52, 13.0: 0.53}	{10.0: 4097.55, 11.0: 675.69, 12.0: 8647.48, 13.0: 19.28}	{10.0: 805.97, 11.0: 118.36, 12.0: 1841.53, 13.0: 0.14}	{10.0: 4180.85, 11.0: 4384.4, 12.0: 13511.2, 13.0: 7.55}	{10.0: 5180.57, 11.0: 5259.75, 12.0: 18728.0, 13.0: 17.68}
