phenotype	chrom	start	end	filtered_due_to_computation_burden
alanine_aminotransferase	10	122875635	123125635	false
alanine_aminotransferase	10	125406719	125656719	false
alanine_aminotransferase	11	5544228	5844017	false
alanine_aminotransferase	11	22053677	22445130	false
alanine_aminotransferase	11	47260350	48058664	false
alanine_aminotransferase	11	62058838	62326458	false
alanine_aminotransferase	11	65044008	65322393	false
alanine_aminotransferase	11	65469324	65719324	false
alanine_aminotransferase	11	68768761	69026950	false
alanine_aminotransferase	11	72286787	73070341	false
alanine_aminotransferase	11	78456582	78751405	false
alanine_aminotransferase	11	93141256	94398868	false
alanine_aminotransferase	11	125235608	125581805	false
alanine_aminotransferase	12	4259844	4509844	false
alanine_aminotransferase	12	10400878	10767293	false
alanine_aminotransferase	12	11633473	11916685	false
alanine_aminotransferase	12	20453881	20711395	false
alanine_aminotransferase	12	20833801	21510665	false
alanine_aminotransferase	12	25282726	25533464	false
alanine_aminotransferase	12	50435104	51346127	false
alanine_aminotransferase	12	56858425	57316139	false
alanine_aminotransferase	12	111571528	113111885	false
alanine_aminotransferase	12	121415531	121815093	false
alanine_aminotransferase	12	122346900	123073907	false
alanine_aminotransferase	12	123322928	124057679	false
alanine_aminotransferase	13	27553791	27962415	false
alanine_aminotransferase	13	28312257	28572730	false
alanine_aminotransferase	13	32914231	33419182	false
alanine_aminotransferase	13	41484047	41814067	false
alanine_aminotransferase	13	50440104	50847895	false
alanine_aminotransferase	13	110890628	111164949	false
alanine_aminotransferase	14	24746290	25008887	false
alanine_aminotransferase	14	35033184	35973737	false
alanine_aminotransferase	14	50387111	51414104	false
alanine_aminotransferase	14	69407391	69794957	false
alanine_aminotransferase	14	94339489	95002868	false
alanine_aminotransferase	14	103734962	104117592	false
alanine_aminotransferase	15	39695603	40086526	false
alanine_aminotransferase	15	40174200	40546671	false
alanine_aminotransferase	15	50684670	51125899	false
alanine_aminotransferase	15	58597590	58856153	false
alanine_aminotransferase	15	60753030	61073715	false
alanine_aminotransferase	15	73693394	74147163	false
alanine_aminotransferase	15	78872076	79276774	false
alanine_aminotransferase	15	90202226	90475889	false
alanine_aminotransferase	16	2979818	3240325	false
alanine_aminotransferase	16	3488150	3855578	false
alanine_aminotransferase	16	53672908	53970487	false
alanine_aminotransferase	16	57945964	58227550	false
alanine_aminotransferase	16	58413662	58807616	false
alanine_aminotransferase	16	69544655	70192440	false
alanine_aminotransferase	16	70209172	70638010	false
alanine_aminotransferase	16	71466526	72377752	false
alanine_aminotransferase	16	80370565	80639612	false
alanine_aminotransferase	16	83851252	84116452	false
alanine_aminotransferase	17	6981475	7358977	false
alanine_aminotransferase	17	17753525	18003525	false
alanine_aminotransferase	17	18058483	18355380	false
alanine_aminotransferase	17	27039458	27289458	false
alanine_aminotransferase	17	35948320	36210591	false
alanine_aminotransferase	17	45260012	45891771	false
alanine_aminotransferase	17	61857721	62107721	false
alanine_aminotransferase	17	63953535	64503442	false
alanine_aminotransferase	17	65697573	66223154	false
alanine_aminotransferase	17	68294387	68636145	false
alanine_aminotransferase	17	69947054	70261055	false
alanine_aminotransferase	17	73336930	73663318	false
alanine_aminotransferase	17	73723531	74093408	false
alanine_aminotransferase	17	79296584	79640509	false
alanine_aminotransferase	18	55112887	55557622	false
alanine_aminotransferase	18	55840542	56329250	false
alanine_aminotransferase	18	60658211	60992576	false
alanine_aminotransferase	19	670457	932442	false
alanine_aminotransferase	19	3620384	3880962	false
alanine_aminotransferase	19	4828351	5078351	false
alanine_aminotransferase	19	7095013	7348973	false
alanine_aminotransferase	19	7832481	8095635	false
alanine_aminotransferase	19	10205138	10475649	false
alanine_aminotransferase	19	15852252	16116914	false
alanine_aminotransferase	19	18054672	18524750	false
alanine_aminotransferase	19	18958483	19979296	false
alanine_aminotransferase	19	20088781	20604901	false
alanine_aminotransferase	19	33693892	34147842	false
alanine_aminotransferase	19	35894522	36170772	false
alanine_aminotransferase	19	41201426	41511282	false
alanine_aminotransferase	19	45116638	45563554	false
alanine_aminotransferase	19	45589579	45980262	false
alanine_aminotransferase	19	46025182	46289672	false
alanine_aminotransferase	20	10854090	11114562	false
alanine_aminotransferase	20	12814369	13098521	false
alanine_aminotransferase	20	14546213	14808029	false
alanine_aminotransferase	20	17719492	17969518	false
alanine_aminotransferase	20	25138136	25707197	false
alanine_aminotransferase	20	31841698	33965199	false
alanine_aminotransferase	20	39017516	39356118	false
alanine_aminotransferase	20	42911452	43161452	false
alanine_aminotransferase	20	45425489	45683178	false
alanine_aminotransferase	20	47231483	47579542	false
alanine_aminotransferase	20	60772487	61031055	false
alanine_aminotransferase	20	62268133	62731067	false
alanine_aminotransferase	21	16214172	16549421	false
alanine_aminotransferase	21	29867536	30865394	false
alanine_aminotransferase	21	33659580	33911483	false
alanine_aminotransferase	21	40430561	40844027	false
alanine_aminotransferase	21	46083193	46419986	false
alanine_aminotransferase	22	18018835	18269315	false
alanine_aminotransferase	22	24120292	24426825	false
alanine_aminotransferase	22	28428180	29257752	false
alanine_aminotransferase	22	36139636	36714401	false
alanine_aminotransferase	22	38382047	38739129	false
alanine_aminotransferase	22	44173085	44540680	false
alanine_aminotransferase	22	50517777	51009806	false
albumin	1	1347873	1636315	false
albumin	1	9311588	9579253	false
albumin	1	16171039	16856510	false
albumin	1	23595185	23949623	false
albumin	1	25436667	25988694	false
albumin	1	39426488	40213043	false
albumin	1	59497219	59768856	false
albumin	1	65085790	65630669	false
albumin	1	65910258	66340433	false
albumin	1	109651285	109947166	false
albumin	1	110345764	110621087	false
albumin	1	145271839	145521839	false
albumin	1	150166059	151193398	false
albumin	1	151664611	151932514	false
albumin	1	154270212	155709557	false
albumin	1	155752669	156002669	false
albumin	1	156082234	156460111	false
albumin	1	161285521	161767985	false
albumin	1	178341769	178803660	false
albumin	1	196223694	197109679	false
albumin	1	200128612	200521307	false
albumin	1	205538992	205928284	false
albumin	1	214025445	214275821	false
albumin	1	219497072	219922675	false
albumin	1	220842683	221237332	false
albumin	1	247476595	247731276	false
albumin	2	26812669	28722305	false
albumin	2	39261255	39813516	false
albumin	2	60453843	60708202	false
albumin	2	101477749	101772894	false
albumin	2	101956119	102265086	false
albumin	2	112084945	112334945	false
albumin	2	113715058	113992288	false
albumin	2	119587621	119837621	false
albumin	2	120415450	121195858	false
albumin	2	162833353	163101796	false
albumin	2	165351253	165856664	false
albumin	2	178438338	178761698	false
albumin	2	188164172	188478919	false
albumin	2	226741226	227330445	false
albumin	2	233542744	233824542	false
albumin	2	242026791	242568983	false
albumin	3	11902240	12600557	false
albumin	3	24395283	24645283	false
albumin	3	33332493	33949031	false
albumin	3	47330532	51410103	false
albumin	3	51423532	51809865	false
albumin	3	71649589	71969261	false
albumin	3	105269831	105731765	false
albumin	3	107146195	107505821	false
albumin	3	131881061	132529890	false
albumin	3	133353557	133626631	false
albumin	3	135494585	136078220	false
albumin	3	151864827	152210277	false
albumin	3	156666209	156938672	false
albumin	3	172169500	172438367	false
albumin	4	3124828	3726458	false
albumin	4	14835529	15212465	false
albumin	4	25847573	26304776	false
albumin	4	40599814	40849814	false
albumin	4	56142473	56609925	false
albumin	4	69599002	69849002	false
albumin	4	70212708	70462708	false
albumin	4	70855387	71105387	false
albumin	4	71581666	71831666	false
albumin	4	72623182	73009282	false
albumin	4	73212881	75083311	false
albumin	4	75910744	76160744	false
albumin	4	76202400	76452400	false
albumin	4	76601133	76851133	false
albumin	4	77080319	77564979	false
albumin	4	99505017	99876794	false
albumin	4	99894089	100387242	false
albumin	4	102196252	103513441	false
albumin	4	124631520	124922919	false
albumin	4	128531962	129285316	false
albumin	4	144234490	144484490	false
albumin	4	154065965	154379534	false
albumin	4	157496067	157934154	false
albumin	4	169219120	169473476	false
albumin	4	177215623	177980276	false
albumin	5	1161516	1411516	false
albumin	5	53146420	53446956	false
albumin	5	55310220	55567249	false
albumin	5	55669632	55941888	false
albumin	5	71586577	72547775	false
albumin	5	75567003	76427567	false
albumin	5	86098195	86348195	false
albumin	5	90044070	90377077	false
albumin	5	112428563	112678563	false
albumin	5	122517278	123283443	false
albumin	5	127220966	127687880	false
albumin	5	157789667	158050297	false
albumin	5	173144503	173664588	false
albumin	5	179934424	180190697	false
albumin	6	271321	546281	false
albumin	6	11963544	12294213	false
albumin	6	33605095	33899394	false
albumin	6	34426344	35217956	false
albumin	6	35421940	35751500	false
albumin	6	41545353	41799100	false
albumin	6	43929459	44230929	false
albumin	6	47728855	47978855	false
albumin	6	106231046	106481046	false
albumin	6	107295270	107569153	false
albumin	6	108985274	109242491	false
albumin	6	127273595	127654780	false
albumin	6	133678011	133937022	false
albumin	6	135277339	135584837	false
albumin	6	160641681	161250631	false
albumin	7	1456840	2551867	false
albumin	7	6582249	6870347	false
albumin	7	15758394	16217196	false
albumin	7	17162269	17412269	false
albumin	7	17675133	18178537	false
albumin	7	22613762	22936384	false
albumin	7	35956175	36225169	false
albumin	7	72698661	73183017	false
albumin	7	77225080	77697427	false
albumin	7	81234051	81720518	false
albumin	7	111455166	111749089	false
albumin	7	126890083	127140083	false
albumin	7	130303561	130710623	false
albumin	7	150331598	150756847	false
albumin	8	6234450	6484450	false
albumin	8	6521329	6780391	false
albumin	8	9032497	9365101	false
albumin	8	9572193	9822193	false
albumin	8	18130410	18398300	false
albumin	8	21496046	22084139	false
albumin	8	23369194	23645043	false
albumin	8	30076375	30618020	false
albumin	8	81916753	82172828	false
albumin	8	116530075	116996682	false
albumin	8	126328380	126648523	false
albumin	8	135525483	135794222	false
albumin	8	144851720	145191004	false
albumin	8	145721364	145971364	false
albumin	9	74785258	75063503	false
albumin	9	86243660	86819759	false
albumin	9	111951237	112373129	false
albumin	9	135993268	136267185	false
albumin	9	136758337	137050744	false
albumin	9	138976772	139233324	false
albumin	10	17663060	18378922	false
albumin	10	21544899	22423876	false
albumin	10	61496667	61821682	false
albumin	10	64727001	65490736	false
albumin	10	94304467	94620753	false
albumin	10	105544276	105794276	false
albumin	10	114621580	114942527	false
albumin	10	134334388	134584388	false
albumin	11	8130408	8380408	false
albumin	11	9853117	10495675	false
albumin	11	10510355	10770879	false
albumin	11	16113158	16364880	false
albumin	11	34999040	35324234	false
albumin	11	46572199	50874243	false
albumin	11	51379993	51706631	false
albumin	11	54722028	55217940	false
albumin	11	60847512	61097512	false
albumin	11	61365486	61745079	false
albumin	11	65224063	65494225	false
albumin	11	67684268	67999072	false
albumin	11	68757926	69007926	false
albumin	11	69156160	69432707	false
albumin	11	72367876	73014137	false
albumin	11	75319605	75694150	false
albumin	11	85503309	85936238	false
albumin	11	116593415	117119993	false
albumin	11	118375744	119317956	false
albumin	11	122371619	122732854	false
albumin	12	4203521	4509844	false
albumin	12	12444971	12750714	false
albumin	12	12999937	13343918	false
albumin	12	25282726	25550527	false
albumin	12	37943700	38332512	false
albumin	12	38452347	38702347	false
albumin	12	47055008	47340031	false
albumin	12	56679909	57099785	false
albumin	12	57436920	58104949	false
albumin	12	89399566	89718960	false
albumin	12	105320798	105785550	false
albumin	12	110933616	111200243	false
albumin	12	111219585	113325293	false
albumin	12	123603980	124010484	false
albumin	13	46391468	46641468	false
albumin	13	114621976	114978164	false
albumin	14	24744465	25008887	false
albumin	14	50742346	51332357	false
albumin	14	77308871	77634872	false
albumin	14	92943421	93254810	false
albumin	14	94297198	95278448	false
albumin	14	103116799	103415221	false
albumin	14	105752057	106395813	false
albumin	15	40162982	40507441	false
albumin	15	42246452	45190208	false
albumin	15	53603710	53864426	false
albumin	15	58546721	58812603	false
albumin	15	60575417	61104812	false
albumin	15	67347683	67799317	false
albumin	15	74927927	75470078	false
albumin	15	78029885	78554728	false
albumin	16	14981127	15272954	false
albumin	16	30467110	30717110	false
albumin	16	30732521	30982521	false
albumin	16	71874421	72381911	false
albumin	16	72622685	73002116	false
albumin	16	79430485	79708134	false
albumin	16	83854317	84115466	false
albumin	16	87859477	88173652	false
albumin	16	88399565	88676849	false
albumin	16	89551788	90020469	false
albumin	17	1236363	1793139	false
albumin	17	1822985	2327943	false
albumin	17	3799306	4151560	false
albumin	17	6843172	7699779	false
albumin	17	13708522	13962051	false
albumin	17	16658502	17038736	false
albumin	17	17929917	18252914	false
albumin	17	35948320	36198320	false
albumin	17	40119377	40881882	false
albumin	17	42056796	42415015	false
albumin	17	42742429	44990603	false
albumin	17	47537113	48095076	false
albumin	17	48900000	49332503	false
albumin	17	57676597	58171076	false
albumin	17	66302519	67793868	false
albumin	18	9587723	9837723	false
albumin	18	57010459	57326696	false
albumin	18	59962916	60391164	false
albumin	18	60720884	60970884	false
albumin	19	7004086	7374717	false
albumin	19	12999463	13265142	false
albumin	19	18082397	19020865	false
albumin	19	19152779	19925289	false
albumin	19	33689779	34150030	false
albumin	19	34892809	35769139	false
albumin	19	35885823	36171888	false
albumin	19	41229533	41496480	false
albumin	19	46114598	46487555	false
albumin	19	49412962	50546331	false
albumin	19	54629946	54881142	false
albumin	20	19859025	20109025	false
albumin	20	31841698	32450942	false
albumin	20	33856275	34106275	false
albumin	20	38904027	39189094	false
albumin	20	39501335	40079677	false
albumin	20	43366477	44092310	false
albumin	20	57165347	57418124	false
albumin	20	62069030	62319103	false
albumin	20	62527139	62777139	false
albumin	21	34644904	35132186	false
albumin	21	36083062	36333062	false
albumin	21	47573343	47993321	false
albumin	22	18290158	18616589	false
albumin	22	30554387	30899340	false
albumin	22	31445365	31695365	false
albumin	22	35899971	36151458	false
albumin	22	37858412	39553396	false
albumin	22	50180081	50450779	false
alkaline_phosphatase	1	741893	1027764	false
alkaline_phosphatase	1	1049282	1299282	false
alkaline_phosphatase	1	1398601	1689194	false
alkaline_phosphatase	1	2177471	2469925	false
alkaline_phosphatase	1	19430673	24309348	true
alkaline_phosphatase	1	24624270	25229702	false
alkaline_phosphatase	1	25438792	26325049	false
alkaline_phosphatase	1	26862646	27460529	false
alkaline_phosphatase	1	28168524	28418524	false
alkaline_phosphatase	1	29949945	30199945	false
alkaline_phosphatase	1	39426488	40214945	false
alkaline_phosphatase	1	42320113	42578317	false
alkaline_phosphatase	1	43892816	44420047	false
alkaline_phosphatase	1	65094883	66340433	false
alkaline_phosphatase	1	67931314	68187148	false
alkaline_phosphatase	1	78224467	78575517	false
alkaline_phosphatase	1	92816357	94132922	false
alkaline_phosphatase	1	101470785	101781441	false
alkaline_phosphatase	1	109502326	109798020	false
alkaline_phosphatase	1	113951396	114502568	false
alkaline_phosphatase	1	117752073	118002077	false
alkaline_phosphatase	1	154238443	154693683	false
alkaline_phosphatase	1	161274920	162031337	false
alkaline_phosphatase	1	172271020	172521020	false
alkaline_phosphatase	1	177805642	178090223	false
alkaline_phosphatase	1	180778388	181034061	false
alkaline_phosphatase	1	184547098	185496215	false
alkaline_phosphatase	1	196299797	196549797	false
alkaline_phosphatase	1	196837982	197087982	false
alkaline_phosphatase	1	205516826	205926872	false
alkaline_phosphatase	1	211568627	211948764	false
alkaline_phosphatase	1	214004675	214535272	false
alkaline_phosphatase	1	219948149	220210453	false
alkaline_phosphatase	1	220725343	221157881	false
alkaline_phosphatase	1	234600135	234978406	false
alkaline_phosphatase	1	247475301	247740261	false
alkaline_phosphatase	2	3507442	3773186	false
alkaline_phosphatase	2	17795545	18063501	false
alkaline_phosphatase	2	21140141	21575824	false
alkaline_phosphatase	2	25149507	25399507	false
alkaline_phosphatase	2	26993679	28821862	false
alkaline_phosphatase	2	30532532	30903584	false
alkaline_phosphatase	2	32718295	32994242	false
alkaline_phosphatase	2	43325843	43719091	false
alkaline_phosphatase	2	43728510	44059332	false
alkaline_phosphatase	2	47058472	47356674	false
alkaline_phosphatase	2	48365449	48898295	false
alkaline_phosphatase	2	54491729	54809666	false
alkaline_phosphatase	2	61242664	61952148	false
alkaline_phosphatase	2	64788045	65113266	false
alkaline_phosphatase	2	68837137	69131495	false
alkaline_phosphatase	2	70074756	70613470	false
alkaline_phosphatase	2	88299066	88597249	false
alkaline_phosphatase	2	108825057	109443148	false
alkaline_phosphatase	2	111743691	112058001	false
alkaline_phosphatase	2	113712416	114293975	false
alkaline_phosphatase	2	121181440	121435269	false
alkaline_phosphatase	2	134718294	135258737	false
alkaline_phosphatase	2	158306644	158606992	false
alkaline_phosphatase	2	165377911	165683252	false
alkaline_phosphatase	2	166410918	166747008	false
alkaline_phosphatase	2	169628415	170093236	false
alkaline_phosphatase	2	171637882	172167739	false
alkaline_phosphatase	2	181703140	182211795	false
alkaline_phosphatase	2	191971719	192306678	false
alkaline_phosphatase	2	198971120	199727744	false
alkaline_phosphatase	2	202845250	204566397	false
alkaline_phosphatase	2	208328448	208661939	false
alkaline_phosphatase	2	211415507	211668055	false
alkaline_phosphatase	2	218822515	219416481	false
alkaline_phosphatase	2	219499980	219749980	false
alkaline_phosphatase	2	234018048	234426980	false
alkaline_phosphatase	2	242036315	242559316	false
alkaline_phosphatase	3	4632859	4889466	false
alkaline_phosphatase	3	11915065	12764802	false
alkaline_phosphatase	3	45785946	46339685	false
alkaline_phosphatase	3	46832777	48266643	false
alkaline_phosphatase	3	48295104	50019030	false
alkaline_phosphatase	3	52455173	52705173	false
alkaline_phosphatase	3	53052276	53310626	false
alkaline_phosphatase	3	98311188	98915767	false
alkaline_phosphatase	3	100803788	101453165	false
alkaline_phosphatase	3	114336208	114589858	false
alkaline_phosphatase	3	119401349	119947183	false
alkaline_phosphatase	3	131992785	132572137	false
alkaline_phosphatase	3	135494585	136877590	false
alkaline_phosphatase	3	142583233	142938964	false
alkaline_phosphatase	3	155407694	155693978	false
alkaline_phosphatase	3	186607955	186857955	false
alkaline_phosphatase	3	188275239	188529669	false
alkaline_phosphatase	4	16039327	16321478	false
alkaline_phosphatase	4	23765582	24024510	false
alkaline_phosphatase	4	37273715	37654168	false
alkaline_phosphatase	4	38488107	38841721	false
alkaline_phosphatase	4	69172170	69724531	false
alkaline_phosphatase	4	69805291	70055291	false
alkaline_phosphatase	4	77071677	77564399	false
alkaline_phosphatase	4	83117394	83416011	false
alkaline_phosphatase	4	88843713	89120795	false
alkaline_phosphatase	4	99579167	100447786	false
alkaline_phosphatase	4	103271333	104265848	false
alkaline_phosphatase	4	105883586	106511760	false
alkaline_phosphatase	4	110985678	111253820	false
alkaline_phosphatase	4	128488119	129249479	false
alkaline_phosphatase	4	129256454	129506454	false
alkaline_phosphatase	4	146623044	146946410	false
alkaline_phosphatase	4	148795620	149229383	false
alkaline_phosphatase	4	150934523	151483645	false
alkaline_phosphatase	4	154040679	154379534	false
alkaline_phosphatase	5	34588792	34853419	false
alkaline_phosphatase	5	36478057	36790823	false
alkaline_phosphatase	5	37051865	37301865	false
alkaline_phosphatase	5	51937147	52318125	false
alkaline_phosphatase	5	55728349	55986894	false
alkaline_phosphatase	5	68252251	68551570	false
alkaline_phosphatase	5	71565342	72118411	false
alkaline_phosphatase	5	77164748	77643978	false
alkaline_phosphatase	5	81591027	82030703	false
alkaline_phosphatase	5	88144405	88693197	false
alkaline_phosphatase	5	115018284	115290847	false
alkaline_phosphatase	5	132224654	132569128	false
alkaline_phosphatase	5	158377378	158647577	false
alkaline_phosphatase	5	178423514	178712296	false
alkaline_phosphatase	6	6934872	7378731	false
alkaline_phosphatase	6	15400453	15844796	false
alkaline_phosphatase	6	23211694	25123665	false
alkaline_phosphatase	6	33423493	33673493	false
alkaline_phosphatase	6	34358749	35572267	false
alkaline_phosphatase	6	44426487	44960703	false
alkaline_phosphatase	6	53774341	54085803	false
alkaline_phosphatase	6	100265234	100515234	false
alkaline_phosphatase	6	109447299	109776220	false
alkaline_phosphatase	6	116112983	116571576	false
alkaline_phosphatase	6	127314897	127579893	false
alkaline_phosphatase	6	131874582	132174657	false
alkaline_phosphatase	6	151728300	152037597	false
alkaline_phosphatase	6	158257687	158617660	false
alkaline_phosphatase	6	160396885	160676486	false
alkaline_phosphatase	7	949026	1294102	false
alkaline_phosphatase	7	19925603	20183327	false
alkaline_phosphatase	7	22768795	23018795	false
alkaline_phosphatase	7	23463134	23946784	false
alkaline_phosphatase	7	41910200	42215528	false
alkaline_phosphatase	7	44097220	44392538	false
alkaline_phosphatase	7	65088947	65338947	false
alkaline_phosphatase	7	72274267	73185006	false
alkaline_phosphatase	7	95992918	96772184	false
alkaline_phosphatase	7	100155896	100657540	false
alkaline_phosphatase	7	106659234	107429628	false
alkaline_phosphatase	7	126109289	127967452	false
alkaline_phosphatase	7	128448967	128704202	false
alkaline_phosphatase	7	134406190	134701840	false
alkaline_phosphatase	7	134732576	135045148	false
alkaline_phosphatase	7	150372496	150671616	false
alkaline_phosphatase	7	150781453	151080871	false
alkaline_phosphatase	8	6433964	6732634	false
alkaline_phosphatase	8	7759119	12420028	false
alkaline_phosphatase	8	19638992	20069078	false
alkaline_phosphatase	8	30047267	30386968	false
alkaline_phosphatase	8	70892438	71533716	false
alkaline_phosphatase	8	74732165	75032295	false
alkaline_phosphatase	8	103691785	104049469	false
alkaline_phosphatase	8	119577615	120341830	false
alkaline_phosphatase	8	126290148	126784839	false
alkaline_phosphatase	8	145381363	146100269	false
alkaline_phosphatase	9	5419740	6132500	false
alkaline_phosphatase	9	18504283	18754283	false
alkaline_phosphatase	9	33704081	34270804	false
alkaline_phosphatase	9	34458636	34788798	false
alkaline_phosphatase	9	98423449	98908788	false
alkaline_phosphatase	9	103989796	104714009	false
alkaline_phosphatase	9	117026539	117356295	false
alkaline_phosphatase	9	123391414	124193784	false
alkaline_phosphatase	9	126854082	127127414	false
alkaline_phosphatase	9	133310530	133626018	false
alkaline_phosphatase	9	135104366	136653124	false
alkaline_phosphatase	9	139123897	139518175	false
alkaline_phosphatase	10	4993231	5481763	false
alkaline_phosphatase	10	18694439	18944439	false
