phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	relation_to_gene	other_ethnicity_association_p_values	other_ethnic_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies	susie_pip_ratio_4	finemap_pip_ratio_4	finemap_pip_prior_std_0.005
creatinine	10	126483088	126483103	10_126180434_126684506	A	{16.0: 21.72%, 17.0: 78.28%}	4.44e-19	+	intergenic	0.924, 0.97, 0.932, 0.184, 0.00195	NaN, NaN, NaN, NaN, +	{16.0: 32.51%, 17.0: 67.49%}	{16.0: 14.74%, 17.0: 85.26%}	{16.0: 28.89%, 17.0: 71.11%}	{16.0: 23.39%, 17.0: 76.61%}	{16.0: 21.94%, 17.0: 78.06%}	0.51	0.80	0.99
eosinophil_count	2	28685815	28685829	2_28553806_28894435	A	{12.0: 51.43%, 15.0: 26.58%, 16.0: 21.98%}	2.79e-28	+	intron:PLB1:protein_coding	0.129, 0.00979, 0.779, 0.018, 0.134	NaN, +, NaN, +, NaN	{12.0: 23.31%, 15.0: 39.13%, 16.0: 37.55%}	{12.0: 60.43%, 15.0: 28.26%, 16.0: 11.31%}	{12.0: 29.55%, 15.0: 63.34%, 16.0: 7.11%}	{12.0: 51.12%, 15.0: 27.25%, 16.0: 21.64%}	{12.0: 50.99%, 15.0: 27.07%, 16.0: 21.94%}	0.97	1.00	0.65
eosinophil_count	2	111878544	111878598	2_111588221_112546566	CCG	{8.33: 0.20%, 11.33: 0.05%, 12.33: 0.01%, 13.33: 0.23%, 14.33: 3.08%, 15.33: 0.27%, 16.33: 0.10%, 17.33: 72.99%, 18.33: 6.61%, 19.33: 5.48%, 20.33: 0.92%, 21.33: 1.21%, 22.33: 0.06%, 23.33: 0.18%, 24.33: 1.05%, 25.33: 0.27%, 26.33: 0.32%, 27.33: 0.47%, 28.33: 0.83%, 29.33: 1.07%, 30.33: 1.93%, 31.33: 0.67%, 32.33: 0.97%, 33.33: 0.27%, 34.33: 0.19%, 35.33: 0.16%, 36.33: 0.41%}	4.96e-58	+	multigene;five_prime_UTR:BCL2L11:protein_coding;intron:MIR4435-2HG:lncRNA	0.274, 0.0336, 0.775, 0.00039, 0.00557	NaN, +, NaN, +, +	{8.33: 0.06%, 11.33: 0.01%, 12.33: 0.01%, 13.33: 0.02%, 14.33: 1.90%, 15.33: 6.67%, 16.33: 0.05%, 17.33: 62.11%, 18.33: 12.77%, 19.33: 0.72%, 20.33: 1.67%, 21.33: 2.98%, 22.33: 0.01%, 23.33: 3.76%, 24.33: 2.81%, 25.33: 0.57%, 26.33: 0.02%, 27.33: 0.05%, 28.33: 0.10%, 29.33: 0.12%, 30.33: 1.56%, 31.33: 0.06%, 32.33: 0.09%, 33.33: 0.04%, 34.33: 0.02%, 35.33: 0.04%, 36.33: 1.78%}	{8.33: 0.48%, 11.33: 0.01%, 12.33: 0.03%, 13.33: 0.07%, 14.33: 3.56%, 15.33: 0.61%, 16.33: 0.28%, 17.33: 72.60%, 18.33: 11.80%, 19.33: 4.50%, 20.33: 2.23%, 21.33: 1.38%, 22.33: 0.05%, 23.33: 0.18%, 24.33: 0.18%, 25.33: 0.05%, 26.33: 0.05%, 27.33: 0.06%, 28.33: 0.19%, 29.33: 0.29%, 30.33: 0.55%, 31.33: 0.27%, 32.33: 0.25%, 33.33: 0.07%, 34.33: 0.06%, 35.33: 0.02%, 36.33: 0.19%}	{8.33: 0.02%, 11.33: 0.00%, 12.33: 0.27%, 13.33: 0.02%, 14.33: 11.61%, 15.33: 0.11%, 16.33: 0.50%, 17.33: 80.18%, 18.33: 4.47%, 19.33: 1.24%, 20.33: 0.61%, 21.33: 0.43%, 22.33: 0.03%, 23.33: 0.10%, 24.33: 0.03%, 25.33: 0.01%, 26.33: 0.01%, 27.33: 0.01%, 28.33: 0.01%, 29.33: 0.05%, 30.33: 0.07%, 31.33: 0.03%, 32.33: 0.03%, 33.33: 0.00%, 34.33: 0.01%, 35.33: 0.00%, 36.33: 0.12%}	{8.33: 0.19%, 11.33: 0.07%, 12.33: 0.00%, 13.33: 0.19%, 14.33: 2.55%, 15.33: 0.46%, 16.33: 0.12%, 17.33: 72.54%, 18.33: 5.55%, 19.33: 6.47%, 20.33: 0.92%, 21.33: 1.40%, 22.33: 0.08%, 23.33: 0.27%, 24.33: 1.18%, 25.33: 0.35%, 26.33: 0.31%, 27.33: 0.51%, 28.33: 0.69%, 29.33: 1.15%, 30.33: 2.15%, 31.33: 0.75%, 32.33: 1.19%, 33.33: 0.29%, 34.33: 0.18%, 35.33: 0.14%, 36.33: 0.31%}	{8.33: 0.18%, 11.33: 0.04%, 12.33: 0.01%, 13.33: 0.23%, 14.33: 2.88%, 15.33: 0.24%, 16.33: 0.13%, 17.33: 71.60%, 18.33: 7.31%, 19.33: 5.36%, 20.33: 1.05%, 21.33: 1.08%, 22.33: 0.08%, 23.33: 0.19%, 24.33: 1.21%, 25.33: 0.41%, 26.33: 0.40%, 27.33: 0.44%, 28.33: 0.71%, 29.33: 1.14%, 30.33: 2.33%, 31.33: 0.79%, 32.33: 0.97%, 33.33: 0.35%, 34.33: 0.22%, 35.33: 0.10%, 36.33: 0.55%}	1.00	1.00	1.00
eosinophil_count	3	51119327	51119344	3_48106919_53228262	A	{18.0: 14.11%, 19.0: 64.83%, 20.0: 21.06%}	1.70e-27	-	intron:DOCK3:protein_coding	0.124, 0.971, 0.755, 0.0255, 0.62	NaN, NaN, NaN, -, NaN	{18.0: 28.72%, 19.0: 61.63%, 20.0: 9.65%}	{18.0: 9.18%, 19.0: 58.41%, 20.0: 32.41%}	{18.0: 6.61%, 19.0: 70.82%, 20.0: 22.57%}	{18.0: 14.73%, 19.0: 63.60%, 20.0: 21.67%}	{18.0: 13.67%, 19.0: 65.95%, 20.0: 20.37%}	0.00	1.00	1.00
eosinophil_count	3	112071388	112071414	3_111677516_112880266	AG	{9.5: 29.20%, 10.5: 0.01%, 11.5: 23.88%, 12.5: 36.62%, 13.5: 10.28%}	5.50e-20	+	intron:CD200:protein_coding	0.989, 0.319, 0.581, 0.467, 0.0000664	NaN, NaN, NaN, NaN, +	{9.5: 17.42%, 10.5: 7.63%, 11.5: 48.53%, 12.5: 21.46%, 13.5: 4.97%}	{9.5: 16.86%, 10.5: 0.12%, 11.5: 53.85%, 12.5: 15.95%, 13.5: 13.21%}	{9.5: 2.24%, 10.5: 0.17%, 11.5: 72.67%, 12.5: 12.44%, 13.5: 12.47%}	{9.5: 29.82%, 10.5: 0.02%, 11.5: 24.86%, 12.5: 36.37%, 13.5: 8.93%}	{9.5: 28.74%, 10.5: 0.06%, 11.5: 25.34%, 12.5: 36.32%, 13.5: 9.55%}	0.07	0.31	0.79
eosinophil_count	5	110417503	110417516	5_109486717_110898696	A	{13.0: 29.36%, 14.0: 35.01%, 15.0: 35.50%, 16.0: 0.14%}	1.46e-35	+	intron:CTC-551A13.2:lncRNA	0.449, 0.21, 0.404, 0.0168, 0.455	NaN, NaN, NaN, +, NaN	{13.0: 56.98%, 14.0: 28.40%, 15.0: 14.60%, 16.0: 0.02%}	{13.0: 44.08%, 14.0: 43.14%, 15.0: 12.76%, 16.0: 0.02%}	{13.0: 31.75%, 14.0: 64.15%, 15.0: 4.09%, 16.0: 0.00%}	{13.0: 29.14%, 14.0: 33.88%, 15.0: 36.76%, 16.0: 0.22%}	{13.0: 31.60%, 14.0: 34.46%, 15.0: 33.82%, 16.0: 0.12%}	0.00	1.00	1.00
eosinophil_count	12	123846277	123846292	12_123276214_124038433	A	{16.0: 3.50%, 17.0: 5.78%, 18.0: 70.71%, 19.0: 20.00%, 20.0: 0.00%}	1.95e-19	-	intron:SBNO1:protein_coding	0.316, 0.000133, 0.716, 0.0168, 0.768	NaN, -, NaN, -, NaN	{16.0: 4.36%, 17.0: 15.19%, 18.0: 48.43%, 19.0: 31.97%, 20.0: 0.04%}	{16.0: 4.04%, 17.0: 10.81%, 18.0: 62.12%, 19.0: 23.03%}	{16.0: 27.01%, 17.0: 3.46%, 18.0: 69.02%, 19.0: 0.51%}	{16.0: 3.58%, 17.0: 7.30%, 18.0: 69.34%, 19.0: 19.78%}	{16.0: 4.25%, 17.0: 5.75%, 18.0: 69.15%, 19.0: 20.85%, 20.0: 0.00%}	1.00	0.97	1.00
eosinophil_count	15	67533379	67533409	15_67249468_67799317	AC	{12.5: 0.01%, 13.5: 22.38%, 14.5: 0.55%, 15.5: 2.18%, 16.0: 0.02%, 16.5: 0.06%, 17.5: 5.47%, 18.5: 16.58%, 19.5: 3.02%, 20.5: 38.37%, 21.5: 7.29%, 22.5: 2.82%, 23.5: 1.26%, 24.5: 0.00%}	2.16e-18	+	intron:AAGAB:protein_coding	0.788, 0.469, 0.93, 0.988, 0.866	NaN, NaN, NaN, NaN, NaN	{12.5: 0.00%, 13.5: 7.75%, 14.5: 4.49%, 15.5: 6.24%, 16.0: 0.01%, 16.5: 4.03%, 17.5: 6.80%, 18.5: 19.32%, 19.5: 12.76%, 20.5: 25.14%, 21.5: 9.04%, 22.5: 4.15%, 23.5: 0.26%, 24.5: 0.00%}	{12.5: 0.04%, 13.5: 26.86%, 14.5: 2.96%, 15.5: 1.39%, 16.0: 0.21%, 16.5: 0.11%, 17.5: 15.13%, 18.5: 18.07%, 19.5: 4.11%, 20.5: 18.40%, 21.5: 6.58%, 22.5: 5.21%, 23.5: 0.84%, 24.5: 0.08%}	{12.5: 0.25%, 13.5: 39.31%, 14.5: 8.69%, 15.5: 0.54%, 16.0: 0.08%, 16.5: 0.07%, 17.5: 6.10%, 18.5: 21.27%, 19.5: 1.41%, 20.5: 9.12%, 21.5: 3.78%, 22.5: 9.38%}	{12.5: 0.01%, 13.5: 21.37%, 14.5: 0.31%, 15.5: 2.43%, 16.0: 0.02%, 16.5: 0.02%, 17.5: 6.19%, 18.5: 15.22%, 19.5: 3.21%, 20.5: 39.54%, 21.5: 7.13%, 22.5: 3.52%, 23.5: 1.03%, 24.5: 0.01%}	{12.5: 0.01%, 13.5: 23.43%, 14.5: 0.69%, 15.5: 1.88%, 16.0: 0.03%, 16.5: 0.09%, 17.5: 4.82%, 18.5: 17.96%, 19.5: 3.15%, 20.5: 36.95%, 21.5: 6.40%, 22.5: 2.87%, 23.5: 1.72%, 24.5: 0.01%}	0.00	1.00	1.00
eosinophil_count	19	16424885	16424902	19_16153737_16946479	A	{16.0: 10.60%, 17.0: 0.04%, 18.0: 72.23%, 19.0: 17.13%}	4.53e-104	+	intron:KLF2-DT:lncRNA	0.205, 0.000144, 0.411, 7.06e-7, 3.47e-6	NaN, +, NaN, +, +	{16.0: 28.13%, 17.0: 8.84%, 18.0: 48.66%, 19.0: 14.37%}	{16.0: 12.15%, 17.0: 0.61%, 18.0: 78.13%, 19.0: 9.11%}	{16.0: 4.03%, 17.0: 0.05%, 18.0: 89.37%, 19.0: 6.55%}	{16.0: 10.75%, 17.0: 0.04%, 18.0: 72.00%, 19.0: 17.21%}	{16.0: 10.54%, 17.0: 0.11%, 18.0: 71.59%, 19.0: 17.76%}	1.00	1.00	1.00
eosinophil_percent	2	28685815	28685829	2_28553806_28894435	A	{12.0: 51.44%, 15.0: 26.59%, 16.0: 21.97%}	2.90e-25	+	intron:PLB1:protein_coding	0.162, 0.0166, 0.671, 0.00802, 0.0803	NaN, +, NaN, +, NaN	{12.0: 23.29%, 15.0: 39.09%, 16.0: 37.62%}	{12.0: 60.46%, 15.0: 28.21%, 16.0: 11.33%}	{12.0: 29.66%, 15.0: 63.28%, 16.0: 7.07%}	{12.0: 51.20%, 15.0: 27.17%, 16.0: 21.63%}	{12.0: 50.99%, 15.0: 27.06%, 16.0: 21.95%}	0.12	1.00	0.36
eosinophil_percent	2	111878544	111878598	2_111588221_112546566	CCG	{8.33: 0.20%, 11.33: 0.05%, 12.33: 0.01%, 13.33: 0.23%, 14.33: 3.08%, 15.33: 0.27%, 16.33: 0.10%, 17.33: 72.98%, 18.33: 6.60%, 19.33: 5.49%, 20.33: 0.92%, 21.33: 1.21%, 22.33: 0.06%, 23.33: 0.18%, 24.33: 1.05%, 25.33: 0.27%, 26.33: 0.32%, 27.33: 0.47%, 28.33: 0.83%, 29.33: 1.07%, 30.33: 1.93%, 31.33: 0.67%, 32.33: 0.97%, 33.33: 0.27%, 34.33: 0.19%, 35.33: 0.16%, 36.33: 0.41%}	5.88e-75	+	multigene;five_prime_UTR:BCL2L11:protein_coding;intron:MIR4435-2HG:lncRNA	0.17, 0.00567, 0.568, 0.000166, 0.00177	NaN, +, NaN, +, +	{8.33: 0.06%, 11.33: 0.01%, 12.33: 0.01%, 13.33: 0.02%, 14.33: 1.90%, 15.33: 6.65%, 16.33: 0.05%, 17.33: 62.17%, 18.33: 12.71%, 19.33: 0.71%, 20.33: 1.66%, 21.33: 3.02%, 22.33: 0.01%, 23.33: 3.80%, 24.33: 2.81%, 25.33: 0.56%, 26.33: 0.02%, 27.33: 0.05%, 28.33: 0.10%, 29.33: 0.12%, 30.33: 1.56%, 31.33: 0.06%, 32.33: 0.09%, 33.33: 0.04%, 34.33: 0.02%, 35.33: 0.04%, 36.33: 1.76%}	{8.33: 0.49%, 11.33: 0.01%, 12.33: 0.03%, 13.33: 0.07%, 14.33: 3.57%, 15.33: 0.61%, 16.33: 0.29%, 17.33: 72.53%, 18.33: 11.86%, 19.33: 4.53%, 20.33: 2.23%, 21.33: 1.38%, 22.33: 0.05%, 23.33: 0.18%, 24.33: 0.18%, 25.33: 0.05%, 26.33: 0.05%, 27.33: 0.06%, 28.33: 0.17%, 29.33: 0.28%, 30.33: 0.55%, 31.33: 0.27%, 32.33: 0.25%, 33.33: 0.07%, 34.33: 0.06%, 35.33: 0.02%, 36.33: 0.19%}	{8.33: 0.02%, 11.33: 0.00%, 12.33: 0.27%, 13.33: 0.02%, 14.33: 11.58%, 15.33: 0.11%, 16.33: 0.49%, 17.33: 80.23%, 18.33: 4.48%, 19.33: 1.23%, 20.33: 0.60%, 21.33: 0.43%, 22.33: 0.03%, 23.33: 0.10%, 24.33: 0.03%, 25.33: 0.01%, 26.33: 0.01%, 27.33: 0.01%, 28.33: 0.01%, 29.33: 0.05%, 30.33: 0.07%, 31.33: 0.03%, 32.33: 0.03%, 33.33: 0.00%, 34.33: 0.01%, 35.33: 0.00%, 36.33: 0.12%}	{8.33: 0.19%, 11.33: 0.07%, 12.33: 0.00%, 13.33: 0.19%, 14.33: 2.50%, 15.33: 0.46%, 16.33: 0.12%, 17.33: 72.63%, 18.33: 5.59%, 19.33: 6.46%, 20.33: 0.94%, 21.33: 1.39%, 22.33: 0.08%, 23.33: 0.27%, 24.33: 1.17%, 25.33: 0.35%, 26.33: 0.31%, 27.33: 0.50%, 28.33: 0.68%, 29.33: 1.13%, 30.33: 2.12%, 31.33: 0.76%, 32.33: 1.19%, 33.33: 0.28%, 34.33: 0.18%, 35.33: 0.14%, 36.33: 0.31%}	{8.33: 0.18%, 11.33: 0.04%, 12.33: 0.01%, 13.33: 0.23%, 14.33: 2.87%, 15.33: 0.24%, 16.33: 0.13%, 17.33: 71.59%, 18.33: 7.33%, 19.33: 5.36%, 20.33: 1.05%, 21.33: 1.07%, 22.33: 0.08%, 23.33: 0.19%, 24.33: 1.21%, 25.33: 0.41%, 26.33: 0.40%, 27.33: 0.44%, 28.33: 0.72%, 29.33: 1.14%, 30.33: 2.32%, 31.33: 0.79%, 32.33: 0.97%, 33.33: 0.35%, 34.33: 0.22%, 35.33: 0.10%, 36.33: 0.56%}	1.00	1.00	1.00
eosinophil_percent	3	51119327	51119344	3_48088498_53256948	A	{18.0: 14.11%, 19.0: 64.84%, 20.0: 21.05%}	1.08e-29	-	intron:DOCK3:protein_coding	0.121, 0.475, 0.461, 0.0753, 0.343	NaN, NaN, NaN, NaN, NaN	{18.0: 28.70%, 19.0: 61.65%, 20.0: 9.65%}	{18.0: 9.16%, 19.0: 58.42%, 20.0: 32.42%}	{18.0: 6.68%, 19.0: 70.67%, 20.0: 22.64%}	{18.0: 14.76%, 19.0: 63.57%, 20.0: 21.67%}	{18.0: 13.67%, 19.0: 65.96%, 20.0: 20.37%}	0.99	1.00	1.00
eosinophil_percent	8	130623382	130623410	8_130256945_130827811	AC	{12.5: 0.01%, 13.5: 0.33%, 14.5: 16.35%, 15.5: 48.69%, 16.5: 6.68%, 17.5: 8.77%, 18.5: 0.97%, 19.5: 0.59%, 20.5: 16.72%, 21.5: 0.88%, 22.5: 0.02%}	3.02e-65	-	intron:CCDC26:lncRNA	0.363, 0.00118, 0.098, 0.368, 0.000125	NaN, -, NaN, NaN, -	{12.5: 6.04%, 13.5: 0.02%, 14.5: 23.91%, 15.5: 21.76%, 16.5: 22.02%, 17.5: 7.53%, 18.5: 0.47%, 19.5: 3.04%, 20.5: 13.94%, 21.5: 1.25%, 22.5: 0.02%}	{12.5: 0.05%, 13.5: 0.09%, 14.5: 7.72%, 15.5: 45.66%, 16.5: 22.04%, 17.5: 5.23%, 18.5: 0.60%, 19.5: 0.88%, 20.5: 16.19%, 21.5: 1.51%, 22.5: 0.04%}	{12.5: 0.03%, 13.5: 0.00%, 14.5: 4.92%, 15.5: 25.40%, 16.5: 14.97%, 17.5: 0.71%, 18.5: 4.42%, 19.5: 0.52%, 20.5: 46.36%, 21.5: 2.19%, 22.5: 0.48%}	{12.5: 0.01%, 13.5: 0.26%, 14.5: 14.73%, 15.5: 49.69%, 16.5: 7.84%, 17.5: 9.02%, 18.5: 0.96%, 19.5: 0.68%, 20.5: 15.94%, 21.5: 0.86%, 22.5: 0.02%}	{12.5: 0.03%, 13.5: 0.23%, 14.5: 14.83%, 15.5: 47.99%, 16.5: 7.57%, 17.5: 8.96%, 18.5: 1.24%, 19.5: 0.59%, 20.5: 17.65%, 21.5: 0.88%, 22.5: 0.04%}	0.00	0.00	0.00
