phenotype	chrom	start_pos	repeat_unit	multiallelicness	association_p_value	pcausal	relation_to_gene	transcribed
mean_platelet_volume	17	27842016	A	0.20561204799652852	0.0	1.0	intron:TAOK1:protein_coding	transcribed;TAOK1-201:protein_coding:1,TAOK1-202:protein_coding:1
mean_platelet_volume	17	44033915	AT	0.3219704700018439	1.0400000000000001e-32	1.0	intron:MAPT:protein_coding	transcribed;MAPT-218:protein_coding:missing from gencode,MAPT-209:protein_coding:5,MAPT-204:protein_coding:1,MAPT-201:protein_coding:1,MAPT-203:protein_coding:1,MAPT-211:nonsense_mediated_decay:4,MAPT-210:processed_transcript:3,MAPT-217:protein_coding:missing from gencode,MAPT-202:protein_coding:1,MAPT-208:protein_coding:1
mean_sphered_cell_volume	17	44084292	AAAAT	0.194762193630527	5.429999999999999e-82	1.0	intron:MAPT:protein_coding	transcribed;MAPT-215:retained_intron:2,MAPT-218:protein_coding:missing from gencode,MAPT-209:protein_coding:5,MAPT-204:protein_coding:1,MAPT-201:protein_coding:1,MAPT-203:protein_coding:1,MAPT-210:processed_transcript:3,MAPT-217:protein_coding:missing from gencode,MAPT-202:protein_coding:1,MAPT-208:protein_coding:1,MAPT-205:protein_coding:5,MAPT-214:protein_coding:5,MAPT-206:protein_coding:1,MAPT-212:protein_coding:5,MAPT-207:protein_coding:5
platelet_count	11	119077000	CGG	0.19372093559513193	3.77e-83	1.0	intergenic;five_prime_UTR:CBL:protein_coding	transcribed;CBL-203:protein_coding:5,CBL-204:protein_coding:5
platelet_count	17	27842016	A	0.20526742286486907	2.2600000000000002e-181	1.0	intron:TAOK1:protein_coding	transcribed;TAOK1-201:protein_coding:1,TAOK1-202:protein_coding:1
platelet_crit	1	204527033	AAT	0.1604297339548981	5.76e-17	1.0	three_prime_UTR:MDM4:protein_coding	transcribed;MDM4-207:protein_coding:1,MDM4-214:protein_coding:5,MDM4-205:protein_coding:1,MDM4-215:protein_coding:5,MDM4-216:protein_coding:5,MDM4-204:protein_coding:1,MDM4-203:protein_coding:1
platelet_crit	4	7040818	A	0.15489094382114843	1.17e-28	0.965011	intron:RP11-367J11.2:lncRNA	transcribed;RP11-367J11.2-001:lncRNA:2
platelet_distribution_width	22	43385874	AT	0.13124103551660687	0.0	1.0	intron:PACSIN2:protein_coding	transcribed;PACSIN2-201:protein_coding:1,PACSIN2-210:protein_coding:5,PACSIN2-207:protein_coding:5,PACSIN2-208:processed_transcript:5
red_blood_cell_count	3	141097028	A	0.08915050617772337	5.3699999999999996e-40	1.0	intron:ZBTB38:protein_coding	transcribed;ZBTB38-209:protein_coding:1,ZBTB38-219:processed_transcript:3,ZBTB38-213:processed_transcript:4,ZBTB38-223:processed_transcript:5,ZBTB38-206:retained_intron:1,ZBTB38-201:protein_coding:NA
red_blood_cell_count	15	76246773	T	0.02641479704080757	2.5900000000000003e-43	1.0	intron:NRG4:protein_coding	transcribed;NRG4-210:nonsense_mediated_decay:3,NRG4-202:nonsense_mediated_decay:1,NRG4-201:protein_coding:1,NRG4-203:nonsense_mediated_decay:2,NRG4-214:nonsense_mediated_decay:1,NRG4-209:nonsense_mediated_decay:2,NRG4-205:nonsense_mediated_decay:2
red_blood_cell_distribution_width	1	43429968	T	0.13083597872939756	1.21e-33	1.0	intron:SLC2A1-AS1:lncRNA	transcribed;SLC2A1-AS1-202:lncRNA:2,SLC2A1-AS1-203:lncRNA:missing from gencode,SLC2A1-AS1-204:lncRNA:missing from gencode,SLC2A1-AS1-201:retained_intron:2
total_protein	19	50028307	CTG	0.0	5.609999999999999e-140	1.0	three_prime_UTR:FCGRT:protein_coding	transcribed;FCGRT-201:protein_coding:1,FCGRT-214:nonsense_mediated_decay:5,FCGRT-202:protein_coding:1,FCGRT-208:retained_intron:2,FCGRT-217:protein_coding:5,FCGRT-210:protein_coding:5,FCGRT-203:retained_intron:2,FCGRT-212:nonsense_mediated_decay:5,FCGRT-211:protein_coding:3
triglycerides	3	135916825	T	0.23979573333237308	3.25e-27	0.986618	intergenic	untranscribed
triglycerides	12	57701093	GTTTT	0.24127159882510205	4.89e-25	1.0	intron:R3HDM2:protein_coding	transcribed;R3HDM2-213:retained_intron:2,R3HDM2-201:protein_coding:1,R3HDM2-202:protein_coding:5,R3HDM2-204:protein_coding:1,R3HDM2-207:protein_coding:5,R3HDM2-215:protein_coding:5,R3HDM2-205:protein_coding:5
white_blood_cell_count	17	38177325	AAAC	0.030890360953921978	1.26e-256	1.0	intron:MED24:protein_coding	transcribed;MED24-209:nonsense_mediated_decay:5,MED24-205:protein_coding:1,MED24-207:processed_transcript:5,MED24-202:protein_coding:1,MED24-201:protein_coding:2,MED24-204:protein_coding:1,MED24-203:protein_coding:2,MED24-234:protein_coding:1,MED24-214:nonsense_mediated_decay:2,MED24-212:protein_coding:5
