phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
platelet_distribution_width	6	41787920	41787933	6_41596682_42135597	A	{12.0: 1.80%, 13.0: 73.95%, 14.0: 24.24%}	1.31e-19	-	confidently	0.979429118231932	1.0	0.983328056229742	1.0	1.0	1.0	1.0	1.0	0.96074825261774	1.0	1.0	0.219, 0.52, 0.669, 0.00622, 0.429	NA, NA, NA, -, NA	{12.0: 0.18%, 13.0: 68.40%, 14.0: 31.42%}	{12.0: 5.53%, 13.0: 72.77%, 14.0: 21.70%}	{12.0: 0.11%, 13.0: 82.01%, 14.0: 17.88%}	{12.0: 1.75%, 13.0: 75.20%, 14.0: 23.05%}	{12.0: 1.81%, 13.0: 74.05%, 14.0: 24.15%}
platelet_distribution_width	7	37468623	37468658	7_37239691_37611831	AAC	{6.0: 0.01%, 8.0: 10.23%, 9.0: 18.25%, 10.0: 0.29%, 11.0: 50.08%, 11.33: 0.01%, 12.0: 20.21%, 13.0: 0.74%, 14.0: 0.18%}	1.52e-13	+	not	0.0	0.0										0.618, 0.174, 0.0322, 0.0212, 0.0154	NA, NA, +, +, +	{6.0: 0.57%, 8.0: 3.62%, 9.0: 20.09%, 10.0: 10.81%, 11.0: 44.09%, 11.33: 0.00%, 12.0: 14.15%, 13.0: 4.65%, 14.0: 2.03%}	{6.0: 0.03%, 8.0: 7.28%, 9.0: 18.12%, 10.0: 5.34%, 11.0: 63.28%, 11.33: 0.02%, 12.0: 5.24%, 13.0: 0.65%, 14.0: 0.04%}	{6.0: 0.03%, 8.0: 2.79%, 9.0: 32.79%, 10.0: 5.57%, 11.0: 55.80%, 11.33: 0.00%, 12.0: 0.84%, 13.0: 2.18%, 14.0: 0.00%}	{6.0: 0.01%, 8.0: 10.50%, 9.0: 16.86%, 10.0: 0.25%, 11.0: 51.13%, 11.33: 0.02%, 12.0: 20.47%, 13.0: 0.67%, 14.0: 0.10%}	{6.0: 0.03%, 8.0: 12.39%, 9.0: 17.23%, 10.0: 0.46%, 11.0: 50.66%, 11.33: 0.01%, 12.0: 18.07%, 13.0: 0.99%, 14.0: 0.16%}
platelet_distribution_width	9	73076326	73076350	9_72714786_73318214	AAAT	{5.25: 15.59%, 6.25: 41.85%, 7.25: 42.56%}	6.76e-19	+	not	0.0	0.0										0.0472, 0.209, 0.818, 0.781, 0.00206	+, NA, NA, NA, +	{5.25: 24.46%, 6.25: 69.30%, 7.25: 6.24%}	{5.25: 13.30%, 6.25: 47.85%, 7.25: 38.84%}	{5.25: 39.08%, 6.25: 44.76%, 7.25: 16.16%}	{5.25: 14.59%, 6.25: 40.65%, 7.25: 44.76%}	{5.25: 15.65%, 6.25: 44.17%, 7.25: 40.18%}
platelet_distribution_width	11	77524867	77524903	11_77079308_77852283	AC	{10.5: 0.01%, 14.5: 10.20%, 15.5: 0.45%, 16.5: 0.00%, 17.5: 1.22%, 18.5: 19.05%, 19.5: 26.82%, 20.5: 9.16%, 21.5: 23.55%, 22.5: 7.04%, 23.5: 2.39%, 24.5: 0.10%}	3.3e-18	+	not	0.0	0.0269078										0.0587, 0.067, 0.407, 0.903, 0.0541	NA, NA, NA, NA, NA	{10.5: 0.00%, 14.5: 28.40%, 15.5: 1.02%, 16.5: 1.14%, 17.5: 1.35%, 18.5: 14.15%, 19.5: 19.47%, 20.5: 18.71%, 21.5: 11.24%, 22.5: 3.18%, 23.5: 1.32%, 24.5: 0.01%}	{10.5: 0.08%, 14.5: 12.55%, 15.5: 0.49%, 17.5: 1.61%, 18.5: 17.24%, 19.5: 38.85%, 20.5: 10.34%, 21.5: 16.22%, 22.5: 1.92%, 23.5: 0.64%, 24.5: 0.05%}	{10.5: 0.01%, 14.5: 13.92%, 15.5: 2.34%, 16.5: 0.01%, 17.5: 1.09%, 18.5: 6.94%, 19.5: 30.49%, 20.5: 22.74%, 21.5: 21.63%, 22.5: 0.73%, 23.5: 0.09%, 24.5: 0.00%}	{10.5: 0.01%, 14.5: 9.45%, 15.5: 0.36%, 17.5: 1.06%, 18.5: 20.24%, 19.5: 28.08%, 20.5: 10.12%, 21.5: 21.43%, 22.5: 7.51%, 23.5: 1.59%, 24.5: 0.15%}	{10.5: 0.08%, 14.5: 9.41%, 15.5: 0.72%, 16.5: 0.00%, 17.5: 1.41%, 18.5: 19.06%, 19.5: 29.11%, 20.5: 9.12%, 21.5: 23.36%, 22.5: 5.81%, 23.5: 1.84%, 24.5: 0.08%}
platelet_distribution_width	12	57025235	57025255	12_56535020_57691292	A	{20.0: 0.14%, 21.0: 89.38%, 22.0: 9.17%, 23.0: 0.04%, 24.0: 1.07%, 25.0: 0.20%}	8.91e-10	+	not	0.0	0.0										0.888, 0.769, 0.823, 0.472, 0.691	NA, NA, NA, NA, NA	{20.0: 0.04%, 21.0: 71.68%, 22.0: 4.70%, 23.0: 1.45%, 24.0: 21.15%, 25.0: 0.98%}	{20.0: 0.88%, 21.0: 89.38%, 22.0: 5.17%, 23.0: 0.06%, 24.0: 3.80%, 25.0: 0.71%}	{20.0: 0.08%, 21.0: 96.53%, 22.0: 3.31%, 23.0: 0.00%, 24.0: 0.06%, 25.0: 0.01%}	{20.0: 0.19%, 21.0: 90.20%, 22.0: 8.77%, 23.0: 0.05%, 24.0: 0.71%, 25.0: 0.08%}	{20.0: 0.12%, 21.0: 89.92%, 22.0: 8.10%, 23.0: 0.04%, 24.0: 1.43%, 25.0: 0.40%}
platelet_distribution_width	14	69659778	69659793	14_69170627_70115072	A	{10.0: 0.61%, 15.0: 0.01%, 16.0: 57.42%, 17.0: 7.70%, 18.0: 34.25%}	2.08e-8	+	singly	0.0	0.991318										0.528, 0.32, 0.366, 0.109, 0.603	NA, NA, NA, NA, NA	{10.0: 0.40%, 15.0: 3.77%, 16.0: 78.90%, 17.0: 7.09%, 18.0: 9.85%}	{10.0: 2.62%, 15.0: 0.08%, 16.0: 44.80%, 17.0: 3.90%, 18.0: 48.60%}	{10.0: 0.01%, 15.0: 0.00%, 16.0: 2.65%, 17.0: 6.32%, 18.0: 91.02%}	{10.0: 0.49%, 15.0: 0.01%, 16.0: 56.27%, 17.0: 8.32%, 18.0: 34.90%}	{10.0: 0.60%, 15.0: 0.03%, 16.0: 59.68%, 17.0: 7.08%, 18.0: 32.61%}
platelet_distribution_width	15	74961071	74961106	15_74467862_76114191	AAAG	{7.0: 0.52%, 8.0: 0.04%, 9.0: 0.87%, 10.0: 77.78%, 11.0: 5.73%, 12.0: 0.36%, 13.0: 0.20%, 14.0: 3.72%, 15.0: 3.74%, 16.0: 3.63%, 17.0: 3.38%, 18.0: 0.03%}	2.77e-12	+	singly	0.0	0.898546	0.0	0.948601	0.919836	0.940244	0.968467	0.898546	0.0	0.559938	0.92694	0.675, 0.126, 0.295, 0.875, 0.839	NA, NA, NA, NA, NA	{7.0: 0.04%, 8.0: 0.00%, 9.0: 1.75%, 10.0: 31.04%, 11.0: 9.61%, 12.0: 0.62%, 13.0: 16.03%, 14.0: 3.97%, 15.0: 17.88%, 16.0: 15.26%, 17.0: 3.79%, 18.0: 0.01%}	{7.0: 0.26%, 8.0: 0.01%, 9.0: 2.61%, 10.0: 52.51%, 11.0: 7.97%, 12.0: 3.62%, 13.0: 0.34%, 14.0: 13.46%, 15.0: 4.19%, 16.0: 9.90%, 17.0: 5.13%, 18.0: 0.01%}	{9.0: 9.38%, 10.0: 30.25%, 11.0: 5.58%, 12.0: 1.85%, 13.0: 2.05%, 14.0: 15.85%, 15.0: 6.65%, 16.0: 15.12%, 17.0: 13.25%, 18.0: 0.01%}	{7.0: 0.61%, 8.0: 0.04%, 9.0: 0.84%, 10.0: 76.49%, 11.0: 5.46%, 12.0: 0.36%, 13.0: 0.19%, 14.0: 4.22%, 15.0: 4.17%, 16.0: 3.90%, 17.0: 3.69%, 18.0: 0.02%}	{7.0: 0.68%, 8.0: 0.03%, 9.0: 1.51%, 10.0: 75.72%, 11.0: 5.52%, 12.0: 0.59%, 13.0: 0.41%, 14.0: 3.65%, 15.0: 4.19%, 16.0: 3.78%, 17.0: 3.89%, 18.0: 0.03%}
platelet_distribution_width	17	33871548	33871564	17_33104005_34589040	A	{16.0: 2.21%, 17.0: 68.57%, 18.0: 18.87%, 19.0: 4.90%, 20.0: 1.62%, 21.0: 3.84%, 22.0: 0.00%}	1.18e-249	-	confidently	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.131, 1.57e-8, 0.763, 5.44e-9, 7.19e-11	NA, -, NA, -, -	{16.0: 1.70%, 17.0: 41.24%, 18.0: 25.62%, 19.0: 22.56%, 20.0: 3.91%, 21.0: 4.67%, 22.0: 0.30%}	{16.0: 4.99%, 17.0: 56.44%, 18.0: 26.67%, 19.0: 4.23%, 20.0: 0.39%, 21.0: 7.28%, 22.0: 0.00%}	{16.0: 20.91%, 17.0: 60.76%, 18.0: 15.89%, 19.0: 1.18%, 20.0: 0.05%, 21.0: 1.22%}	{16.0: 2.09%, 17.0: 71.37%, 18.0: 16.60%, 19.0: 4.27%, 20.0: 1.64%, 21.0: 4.02%, 22.0: 0.00%}	{16.0: 2.21%, 17.0: 65.63%, 18.0: 20.66%, 19.0: 5.89%, 20.0: 1.82%, 21.0: 3.79%, 22.0: 0.01%}
platelet_distribution_width	17	33886073	33886086	17_33104005_34589040	A	{11.0: 1.44%, 12.0: 15.82%, 14.0: 82.74%}	6.66e-244	+	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.384, 2.6e-6, 0.121, 7.59e-10, 9.29e-11	NA, +, NA, +, +	{11.0: 0.10%, 12.0: 24.50%, 14.0: 75.39%}	{11.0: 0.53%, 12.0: 21.68%, 14.0: 77.79%}	{11.0: 0.12%, 12.0: 34.35%, 14.0: 65.53%}	{11.0: 1.57%, 12.0: 15.64%, 14.0: 82.78%}	{11.0: 1.35%, 12.0: 17.17%, 14.0: 81.48%}
platelet_distribution_width	17	42434716	42434734	17_42302544_42749404	A	{18.0: 0.03%, 19.0: 60.57%, 20.0: 39.40%}	3.85e-39	+	not	0.0	0.0										0.255, 0.727, 0.437, 0.00788, 0.0551	NA, NA, NA, +, NA	{18.0: 4.99%, 19.0: 57.73%, 20.0: 37.28%}	{18.0: 0.06%, 19.0: 63.95%, 20.0: 35.99%}	{18.0: 0.03%, 19.0: 53.31%, 20.0: 46.66%}	{18.0: 0.03%, 19.0: 60.81%, 20.0: 39.16%}	{18.0: 0.06%, 19.0: 59.72%, 20.0: 40.21%}
platelet_distribution_width	17	57872357	57872375	17_57276290_58630845	A	{19.0: 15.56%, 20.0: 27.52%, 21.0: 1.87%, 22.0: 55.02%, 23.0: 0.02%}	4.06e-104	-	singly	0.997074572055473	0.0324558	0.0	0.866786	0.0258016	0.0289308	0.0349589	0.0324558	0.995277920897304	0.0	1.0	0.303, 0.00125, 0.407, 0.0146, 0.000112	NA, -, NA, -, -	{19.0: 9.21%, 20.0: 68.76%, 21.0: 8.59%, 22.0: 13.43%, 23.0: 0.01%}	{19.0: 6.89%, 20.0: 43.85%, 21.0: 0.81%, 22.0: 48.25%, 23.0: 0.20%}	{19.0: 6.67%, 20.0: 50.77%, 21.0: 2.07%, 22.0: 40.45%, 23.0: 0.04%}	{19.0: 15.43%, 20.0: 26.63%, 21.0: 1.60%, 22.0: 56.32%, 23.0: 0.03%}	{19.0: 15.72%, 20.0: 29.04%, 21.0: 1.57%, 22.0: 53.64%, 23.0: 0.03%}
platelet_distribution_width	17	62408560	62408574	17_62283560_62533560	A	{14.0: 52.00%, 15.0: 37.57%, 16.0: 10.43%}	3.17e-9	+	singly	0.0	0.879193										0.855, 0.603, 0.0507, 0.43, 0.0296	NA, NA, NA, NA, +	{14.0: 56.20%, 15.0: 41.79%, 16.0: 2.01%}	{14.0: 60.56%, 15.0: 33.90%, 16.0: 5.53%}	{14.0: 68.80%, 15.0: 31.02%, 16.0: 0.18%}	{14.0: 50.41%, 15.0: 39.63%, 16.0: 9.96%}	{14.0: 53.66%, 15.0: 35.59%, 16.0: 10.75%}
platelet_distribution_width	19	17210626	17210645	19_17073713_17410741	A	{16.0: 0.04%, 17.0: 0.69%, 18.0: 37.18%, 19.0: 34.24%, 20.0: 27.85%}	2.77e-8	-	not	0.0	0.175827										0.00646, 0.474, 0.167, 0.172, 0.113	-, NA, NA, NA, NA	{16.0: 4.02%, 17.0: 1.14%, 18.0: 58.21%, 19.0: 27.46%, 20.0: 9.17%}	{16.0: 0.03%, 17.0: 3.40%, 18.0: 48.68%, 19.0: 33.51%, 20.0: 14.38%}	{16.0: 0.03%, 17.0: 1.46%, 18.0: 43.82%, 19.0: 28.81%, 20.0: 25.88%}	{16.0: 0.13%, 17.0: 0.71%, 18.0: 38.18%, 19.0: 35.05%, 20.0: 25.93%}	{16.0: 0.07%, 17.0: 0.89%, 18.0: 39.84%, 19.0: 33.59%, 20.0: 25.62%}
platelet_distribution_width	19	45146632	45146647	19_45011350_46503510	A	{14.0: 0.00%, 15.0: 23.23%, 16.0: 75.06%, 17.0: 1.70%}	3.12e-14	+	singly	0.605994898703649	1.0	0.760737050953347	1.0	1.0	1.0	1.0	1.0	0.192367055935757	0.657075	1.0	0.914, 0.000605, 0.147, 0.439, 0.36	NA, +, NA, NA, NA	{14.0: 3.00%, 15.0: 39.95%, 16.0: 56.92%, 17.0: 0.13%}	{14.0: 0.05%, 15.0: 36.16%, 16.0: 63.53%, 17.0: 0.26%}	{14.0: 0.02%, 15.0: 30.76%, 16.0: 69.18%, 17.0: 0.04%}	{14.0: 0.00%, 15.0: 22.82%, 16.0: 75.76%, 17.0: 1.42%}	{14.0: 0.01%, 15.0: 24.12%, 16.0: 74.32%, 17.0: 1.54%}
platelet_distribution_width	19	55562790	55562809	19_55325462_55833573	A	{19.0: 8.87%, 20.0: 90.89%, 21.0: 0.24%}	7.18e-26	-	singly	0.231669352206901	0.91685	0.0	0.294023	0.929384	0.948727	0.828614	0.564991	0.0317769075305145	0.57924	0.596829	0.572, 0.00135, 0.494, 0.198, 0.149	NA, -, NA, NA, NA	{19.0: 22.84%, 20.0: 77.12%, 21.0: 0.03%}	{19.0: 12.71%, 20.0: 87.12%, 21.0: 0.16%}	{19.0: 20.06%, 20.0: 79.87%, 21.0: 0.07%}	{19.0: 8.64%, 20.0: 91.11%, 21.0: 0.26%}	{19.0: 8.25%, 20.0: 91.56%, 21.0: 0.20%}
platelet_distribution_width	20	3874557	3874597	20_3612974_4159958	A	{33.0: 45.67%, 34.0: 0.30%, 38.0: 0.00%, 39.0: 0.04%, 40.0: 22.50%, 41.0: 31.44%, 42.0: 0.05%}	2.01e-17	+	singly	0.0	0.820128	0.0	0.914775	0.802224	0.79463	0.790981	0.820128	0.0	0.33584	0.96906	0.632, 0.324, 0.991, 0.109, 0.917	NA, NA, NA, NA, NA	{33.0: 21.51%, 34.0: 0.04%, 38.0: 3.81%, 39.0: 11.81%, 40.0: 17.45%, 41.0: 45.20%, 42.0: 0.18%}	{33.0: 43.54%, 34.0: 0.11%, 38.0: 0.04%, 39.0: 1.28%, 40.0: 11.52%, 41.0: 42.45%, 42.0: 1.06%}	{33.0: 26.91%, 34.0: 0.01%, 38.0: 0.09%, 39.0: 0.86%, 40.0: 18.27%, 41.0: 47.75%, 42.0: 6.11%}	{33.0: 44.52%, 34.0: 0.25%, 38.0: 0.01%, 39.0: 0.04%, 40.0: 22.46%, 41.0: 32.69%, 42.0: 0.04%}	{33.0: 43.65%, 34.0: 0.39%, 38.0: 0.02%, 39.0: 0.19%, 40.0: 22.14%, 41.0: 33.45%, 42.0: 0.17%}
