phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	relation_to_gene	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
apolipoprotein_a	1	27247247	27247280	1_26808591_27460529	A	{33.0: 0.00%, 34.0: 84.28%, 35.0: 7.73%, 36.0: 5.54%, 37.0: 2.45%}	6.43e-24	-	intron:NUDC:protein_coding	not	0.017796455244976	0.603183										0.457, 0.724, 0.48, 0.598, 0.0136	NA, NA, NA, NA, -	{33.0: 0.04%, 34.0: 77.46%, 35.0: 16.38%, 36.0: 5.77%, 37.0: 0.35%}	{33.0: 0.12%, 34.0: 88.20%, 35.0: 7.54%, 36.0: 3.49%, 37.0: 0.64%}	{33.0: 0.82%, 34.0: 93.70%, 35.0: 4.91%, 36.0: 0.48%, 37.0: 0.09%}	{33.0: 0.00%, 34.0: 83.57%, 35.0: 8.18%, 36.0: 5.90%, 37.0: 2.35%}	{33.0: 0.01%, 34.0: 84.41%, 35.0: 8.18%, 36.0: 5.14%, 37.0: 2.26%}
apolipoprotein_a	1	93858126	93858136	1_93414383_94016839	A	{10.0: 18.38%, 11.0: 18.45%, 12.0: 63.11%, 13.0: 0.06%}	2.51e-20	-	intergenic	confidently	0.968569572891821	0.985561	0.970611434470649	0.978752	0.98697	1.0	1.0	0.985561	0.882919718627439	0.94363	0.994605	0.0651, 0.276, 0.03, 0.0571, 0.0356	NA, NA, -, NA, -	{10.0: 20.08%, 11.0: 59.91%, 12.0: 20.01%, 13.0: 0.00%}	{10.0: 30.33%, 11.0: 4.99%, 12.0: 64.55%, 13.0: 0.13%}	{10.0: 29.30%, 11.0: 4.44%, 12.0: 66.25%, 13.0: 0.01%}	{10.0: 19.14%, 11.0: 19.76%, 12.0: 61.07%, 13.0: 0.03%}	{10.0: 17.75%, 11.0: 17.98%, 12.0: 64.21%, 13.0: 0.06%}
apolipoprotein_a	3	135916825	135916841	3_135673658_136802064	A	{15.0: 0.11%, 16.0: 33.84%, 17.0: 42.16%, 18.0: 9.23%, 19.0: 14.62%, 20.0: 0.04%, 23.0: 0.00%}	2.54e-17	+	intergenic	not	0.0	0.0										0.589, 0.0641, 0.471, 0.00942, 0.000896	NA, NA, NA, +, +	{15.0: 2.52%, 16.0: 41.20%, 17.0: 26.67%, 18.0: 17.26%, 19.0: 8.62%, 20.0: 0.61%, 23.0: 3.11%}	{15.0: 0.02%, 16.0: 34.51%, 17.0: 41.52%, 18.0: 10.02%, 19.0: 13.89%, 20.0: 0.03%, 23.0: 0.00%}	{15.0: 0.06%, 16.0: 0.81%, 17.0: 77.03%, 18.0: 21.06%, 19.0: 1.04%, 20.0: 0.00%, 23.0: 0.00%}	{15.0: 0.10%, 16.0: 34.69%, 17.0: 40.78%, 18.0: 10.55%, 19.0: 13.85%, 20.0: 0.03%, 23.0: 0.00%}	{15.0: 0.19%, 16.0: 32.34%, 17.0: 43.59%, 18.0: 8.96%, 19.0: 14.82%, 20.0: 0.08%, 23.0: 0.02%}
apolipoprotein_a	5	127349899	127349909	5_127220966_127668280	A	{11.0: 73.22%, 12.0: 26.53%, 13.0: 0.25%}	1.06e-14	+	intron:LINC01184:lncRNA	not	0.0	0.0119556										0.771, 0.836, 0.27, 0.383, 0.49	NA, NA, NA, NA, NA	{11.0: 96.53%, 12.0: 3.45%, 13.0: 0.02%}	{11.0: 68.37%, 12.0: 31.37%, 13.0: 0.26%}	{11.0: 59.34%, 12.0: 40.66%, 13.0: 0.00%}	{11.0: 72.23%, 12.0: 27.62%, 13.0: 0.15%}	{11.0: 74.25%, 12.0: 25.55%, 13.0: 0.20%}
apolipoprotein_a	11	47332459	47332474	11_46179187_50905592	A	{15.0: 67.62%, 16.0: 15.14%, 17.0: 15.80%, 18.0: 1.43%}	1.67e-42	+	intron:MADD:protein_coding	confidently	0.995468687920397	1.0	0.99169737794049	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0992384	0.918, 0.199, 0.4, 0.00482, 0.00171	NA, NA, NA, +, +	{15.0: 48.44%, 16.0: 12.05%, 17.0: 39.42%, 18.0: 0.09%}	{15.0: 54.94%, 16.0: 23.30%, 17.0: 21.55%, 18.0: 0.21%}	{15.0: 29.97%, 16.0: 9.66%, 17.0: 60.21%, 18.0: 0.17%}	{15.0: 68.08%, 16.0: 14.65%, 17.0: 15.49%, 18.0: 1.78%}	{15.0: 70.18%, 16.0: 13.60%, 17.0: 15.27%, 18.0: 0.95%}
apolipoprotein_a	20	32971954	32971973	20_32663863_33969938	A	{19.0: 30.18%, 20.0: 25.67%, 21.0: 43.93%, 22.0: 0.02%, 23.0: 0.21%}	6.07e-15	-	multigene;exon_other:Y_RNA:misc_RNA;intron:ITCH:protein_coding	not	0.0	0.0517172										0.271, 0.206, 0.257, 0.0928, 0.857	NA, NA, NA, NA, NA	{19.0: 6.38%, 20.0: 76.10%, 21.0: 17.37%, 22.0: 0.15%, 23.0: 0.00%}	{19.0: 18.22%, 20.0: 43.17%, 21.0: 38.56%, 22.0: 0.04%, 23.0: 0.01%}	{19.0: 40.45%, 20.0: 38.20%, 21.0: 21.33%, 22.0: 0.01%}	{19.0: 29.94%, 20.0: 28.75%, 21.0: 40.85%, 22.0: 0.01%, 23.0: 0.46%}	{19.0: 31.01%, 20.0: 23.41%, 21.0: 45.36%, 22.0: 0.03%, 23.0: 0.20%}
apolipoprotein_b	1	27247247	27247280	1_26633044_27529784	A	{33.0: 0.00%, 34.0: 84.26%, 35.0: 7.75%, 36.0: 5.54%, 37.0: 2.45%}	1.74e-14	+	intron:NUDC:protein_coding	not	0.0	0.0										0.57, 0.912, 0.91, 0.699, 0.305	NA, NA, NA, NA, NA	{33.0: 0.04%, 34.0: 77.41%, 35.0: 16.30%, 36.0: 5.87%, 37.0: 0.38%}	{33.0: 0.13%, 34.0: 88.41%, 35.0: 7.39%, 36.0: 3.46%, 37.0: 0.61%}	{33.0: 0.81%, 34.0: 93.84%, 35.0: 4.83%, 36.0: 0.44%, 37.0: 0.08%}	{33.0: 0.00%, 34.0: 83.44%, 35.0: 8.26%, 36.0: 5.94%, 37.0: 2.36%}	{33.0: 0.01%, 34.0: 84.52%, 35.0: 8.14%, 36.0: 5.07%, 37.0: 2.26%}
apolipoprotein_b	8	59395436	59395476	8_59131985_59692885	AC	{14.5: 4.65%, 15.5: 19.33%, 16.5: 0.17%, 17.5: 8.62%, 18.5: 30.71%, 19.5: 1.47%, 20.5: 31.20%, 21.5: 1.32%, 22.5: 2.30%, 23.5: 0.22%, 24.5: 0.01%}	1.88e-19	+	intergenic	not	0.0	0.0										0.402, 0.0501, 0.651, 0.36, 0.0486	NA, NA, NA, NA, +	{14.5: 19.08%, 15.5: 29.31%, 16.5: 0.02%, 17.5: 3.18%, 18.5: 22.29%, 19.5: 0.26%, 20.5: 7.82%, 21.5: 6.15%, 22.5: 11.83%, 23.5: 0.05%, 24.5: 0.01%}	{14.5: 3.25%, 15.5: 14.64%, 16.5: 0.37%, 17.5: 1.70%, 18.5: 35.53%, 19.5: 1.29%, 20.5: 31.19%, 21.5: 3.86%, 22.5: 7.56%, 23.5: 0.56%, 24.5: 0.05%}	{14.5: 12.27%, 15.5: 16.80%, 16.5: 0.00%, 17.5: 0.33%, 18.5: 26.66%, 19.5: 0.25%, 20.5: 22.38%, 21.5: 10.33%, 22.5: 7.17%, 23.5: 1.33%, 24.5: 2.48%}	{14.5: 4.24%, 15.5: 18.61%, 16.5: 0.13%, 17.5: 9.80%, 18.5: 32.37%, 19.5: 1.43%, 20.5: 29.88%, 21.5: 1.01%, 22.5: 2.35%, 23.5: 0.18%, 24.5: 0.00%}	{14.5: 5.13%, 15.5: 20.29%, 16.5: 0.43%, 17.5: 8.45%, 18.5: 28.02%, 19.5: 1.15%, 20.5: 32.12%, 21.5: 1.66%, 22.5: 2.48%, 23.5: 0.26%, 24.5: 0.00%}
apolipoprotein_b	10	94596855	94596893	10_94405832_95193338	AC	{14.5: 0.02%, 15.5: 0.25%, 16.5: 0.03%, 18.5: 0.81%, 19.5: 2.57%, 20.5: 23.10%, 21.5: 28.83%, 22.0: 0.00%, 22.5: 10.75%, 23.5: 31.54%, 24.5: 1.09%, 25.5: 0.99%, 26.5: 0.01%}	9.45e-11	+	intron:EXOC6:protein_coding	not	0.0	0.0										0.949, 0.0544, 0.969, 0.117, 0.765	NA, NA, NA, NA, NA	{14.5: 0.00%, 15.5: 0.03%, 16.5: 0.00%, 18.5: 2.17%, 19.5: 1.06%, 20.5: 22.67%, 21.5: 28.30%, 22.0: 0.00%, 22.5: 11.12%, 23.5: 32.48%, 24.5: 1.24%, 25.5: 0.93%, 26.5: 0.00%}	{14.5: 0.02%, 15.5: 0.12%, 16.5: 0.00%, 18.5: 0.31%, 19.5: 1.35%, 20.5: 38.62%, 21.5: 25.72%, 22.0: 0.07%, 22.5: 15.16%, 23.5: 17.02%, 24.5: 1.46%, 25.5: 0.13%, 26.5: 0.01%}	{15.5: 0.00%, 18.5: 0.53%, 19.5: 1.34%, 20.5: 76.97%, 21.5: 9.07%, 22.0: 0.01%, 22.5: 10.60%, 23.5: 1.40%, 24.5: 0.06%, 25.5: 0.02%, 26.5: 0.00%}	{14.5: 0.02%, 15.5: 0.22%, 16.5: 0.03%, 18.5: 0.72%, 19.5: 2.72%, 20.5: 22.28%, 21.5: 30.91%, 22.0: 0.00%, 22.5: 10.36%, 23.5: 30.80%, 24.5: 1.07%, 25.5: 0.86%, 26.5: 0.00%}	{14.5: 0.03%, 15.5: 0.27%, 16.5: 0.02%, 18.5: 0.88%, 19.5: 2.15%, 20.5: 25.05%, 21.5: 28.26%, 22.0: 0.00%, 22.5: 11.37%, 23.5: 29.61%, 24.5: 1.56%, 25.5: 0.79%, 26.5: 0.01%}
aspartate_aminotransferase	11	2982732	2982747	11_2828723_3197576	A	{15.0: 9.30%, 16.0: 60.83%, 17.0: 29.86%, 18.0: 0.01%}	2.53e-11	-	intron:NAP1L4:protein_coding	not	0.0	0.000452051										0.694, 0.0514, 0.85, 0.0127, 0.989	NA, NA, NA, -, NA	{15.0: 45.98%, 16.0: 48.27%, 17.0: 5.74%, 18.0: 0.00%}	{15.0: 8.46%, 16.0: 54.76%, 17.0: 36.78%, 18.0: 0.00%}	{15.0: 0.92%, 16.0: 33.19%, 17.0: 65.89%}	{15.0: 8.54%, 16.0: 61.33%, 17.0: 30.12%, 18.0: 0.01%}	{15.0: 9.36%, 16.0: 59.36%, 17.0: 31.27%, 18.0: 0.01%}
aspartate_aminotransferase	12	121346985	121347001	12_120673216_121614192	A	{16.0: 0.00%, 17.0: 58.20%, 18.0: 36.17%, 19.0: 5.63%}	1.49e-21	-	intergenic	confidently	0.974348804167479	1.0	0.835111163074088	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0525, 0.823, 0.712, 0.000756, 0.441	NA, NA, NA, -, NA	{16.0: 4.02%, 17.0: 89.25%, 18.0: 5.80%, 19.0: 0.94%}	{16.0: 0.00%, 17.0: 76.70%, 18.0: 11.87%, 19.0: 11.43%}	{16.0: 0.01%, 17.0: 84.93%, 18.0: 14.73%, 19.0: 0.34%}	{16.0: 0.00%, 17.0: 58.25%, 18.0: 37.05%, 19.0: 4.70%}	{16.0: 0.04%, 17.0: 60.74%, 18.0: 33.67%, 19.0: 5.56%}
aspartate_aminotransferase	17	44084292	44084364	17_43239737_44990603	AAAAT	{11.6: 22.89%, 12.6: 0.72%, 12.8: 0.01%, 13.6: 18.60%, 14.6: 57.63%, 15.6: 0.15%, 17.6: 0.00%}	1.03e-14	+	intron:MAPT:protein_coding	not	0.0	0.0										0.856, 0.838, 0.125, 0.542, 0.0194	NA, NA, NA, NA, +	{11.6: 2.22%, 12.6: 5.71%, 12.8: 1.76%, 13.6: 18.29%, 14.6: 67.52%, 15.6: 3.93%, 17.6: 0.58%}	{11.6: 8.26%, 12.6: 0.61%, 12.8: 0.01%, 13.6: 15.20%, 14.6: 75.84%, 15.6: 0.08%, 17.6: 0.00%}	{11.6: 0.50%, 12.6: 0.15%, 12.8: 0.02%, 13.6: 27.53%, 14.6: 70.21%, 15.6: 1.59%, 17.6: 0.00%}	{11.6: 21.13%, 12.6: 0.71%, 12.8: 0.01%, 13.6: 19.73%, 14.6: 58.29%, 15.6: 0.14%, 17.6: 0.00%}	{11.6: 21.56%, 12.6: 0.78%, 12.8: 0.02%, 13.6: 16.67%, 14.6: 60.77%, 15.6: 0.19%, 17.6: 0.00%}
c_reactive_protein	1	93858126	93858136	1_93418483_94052107	A	{10.0: 18.40%, 11.0: 18.45%, 12.0: 63.09%, 13.0: 0.06%}	1.67e-11	+	intergenic	not	0.0	0.16318										0.181, 0.199, 0.0298, 0.0172, 0.265	NA, NA, +, +, NA	{10.0: 19.91%, 11.0: 60.03%, 12.0: 20.05%, 13.0: 0.00%}	{10.0: 30.52%, 11.0: 5.04%, 12.0: 64.29%, 13.0: 0.15%}	{10.0: 29.17%, 11.0: 4.33%, 12.0: 66.49%, 13.0: 0.01%}	{10.0: 18.96%, 11.0: 19.87%, 12.0: 61.13%, 13.0: 0.03%}	{10.0: 17.74%, 11.0: 18.02%, 12.0: 64.18%, 13.0: 0.06%}
