phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	relation_to_gene	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
phosphate	1	21935885	21935898	1_20466802_23180466	A	{13.0: 37.39%, 14.0: 62.61%}	5.5e-18	-	intron:RAP1GAP:protein_coding	singly	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.273, 0.47, 0.753, 0.0145, 0.132	NA, NA, NA, -, NA	{13.0: 44.92%, 14.0: 55.08%}	{13.0: 36.59%, 14.0: 63.41%}	{13.0: 55.66%, 14.0: 44.34%}	{13.0: 38.14%, 14.0: 61.86%}	{13.0: 37.12%, 14.0: 62.88%}
haemoglobin_concentration	1	22015711	22015721	1_21890709_22140709	A	{11.0: 77.60%, 12.0: 22.40%}	2.55e-8	-	intron:USP48:protein_coding	singly	0.0	0.862641										0.0588, 0.582, 0.0752, 0.044, 0.47	NA, NA, NA, -, NA	{11.0: 82.51%, 12.0: 17.49%}	{11.0: 80.81%, 12.0: 19.19%}	{11.0: 93.83%, 12.0: 6.17%}	{11.0: 78.19%, 12.0: 21.81%}	{11.0: 78.92%, 12.0: 21.08%}
phosphate	1	22015711	22015721	1_20466802_23180466	A	{11.0: 77.56%, 12.0: 22.44%}	1.43e-14	-	intron:USP48:protein_coding	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.883, 0.578, 0.734, 0.0685, 0.0808	NA, NA, NA, NA, NA	{11.0: 82.54%, 12.0: 17.46%}	{11.0: 80.68%, 12.0: 19.32%}	{11.0: 93.86%, 12.0: 6.14%}	{11.0: 78.29%, 12.0: 21.71%}	{11.0: 78.94%, 12.0: 21.06%}
albumin	1	23747997	23748008	1_23595185_23949623	A	{11.0: 71.78%, 12.0: 28.22%}	9.49e-10	-	intron:TCEA3:protein_coding	not	0.0	0.0569649										0.36, 0.025, 0.82, 0.225, 0.326	NA, -, NA, NA, NA	{11.0: 43.01%, 12.0: 56.99%}	{11.0: 58.14%, 12.0: 41.86%}	{11.0: 55.40%, 12.0: 44.60%}	{11.0: 70.86%, 12.0: 29.14%}	{11.0: 73.16%, 12.0: 26.84%}
apolipoprotein_a	1	23747997	23748008	1_23566745_23949623	A	{11.0: 71.78%, 12.0: 28.22%}	4.09e-11	-	intron:TCEA3:protein_coding	not	0.0	0.00305823										0.344, 0.013, 0.972, 0.529, 0.233	NA, -, NA, NA, NA	{11.0: 43.14%, 12.0: 56.86%}	{11.0: 58.36%, 12.0: 41.64%}	{11.0: 55.30%, 12.0: 44.70%}	{11.0: 70.90%, 12.0: 29.10%}	{11.0: 73.11%, 12.0: 26.89%}
calcium	1	23747997	23748008	1_23477267_23953607	A	{11.0: 71.78%, 12.0: 28.22%}	5.65e-16	-	intron:TCEA3:protein_coding	not	0.145532186212817	0.334164										0.849, 0.0333, 0.621, 0.0357, 0.0139	NA, -, NA, -, -	{11.0: 42.99%, 12.0: 57.01%}	{11.0: 58.27%, 12.0: 41.73%}	{11.0: 55.32%, 12.0: 44.68%}	{11.0: 70.84%, 12.0: 29.16%}	{11.0: 73.14%, 12.0: 26.86%}
cholesterol	1	23747997	23748008	1_23622424_23949623	A	{11.0: 71.79%, 12.0: 28.21%}	1.01e-9	-	intron:TCEA3:protein_coding	not	0.0	0.0										0.552, 0.0512, 0.92, 0.0577, 0.00221	NA, NA, NA, NA, -	{11.0: 43.17%, 12.0: 56.83%}	{11.0: 58.20%, 12.0: 41.80%}	{11.0: 55.27%, 12.0: 44.73%}	{11.0: 70.93%, 12.0: 29.07%}	{11.0: 73.21%, 12.0: 26.79%}
gamma_glutamyltransferase	1	23747997	23748008	1_23158362_23956324	A	{11.0: 71.79%, 12.0: 28.21%}	6.440000000000001e-27	-	intron:TCEA3:protein_coding	singly	0.986814884887593	0.713257	0.983184905014698	0.179393	0.277903	0.342234	0.19788	0.299328	0.934272192561661	0.0722044	1.0	0.0149, 0.0536, 0.864, 0.00588, 0.00996	-, NA, NA, -, -	{11.0: 43.18%, 12.0: 56.82%}	{11.0: 58.31%, 12.0: 41.69%}	{11.0: 55.31%, 12.0: 44.69%}	{11.0: 70.91%, 12.0: 29.09%}	{11.0: 73.22%, 12.0: 26.78%}
hdl_cholesterol	1	23747997	23748008	1_23556232_23942932	A	{11.0: 71.79%, 12.0: 28.21%}	2.82e-9	-	intron:TCEA3:protein_coding	not	0.0	0.0191643										0.959, 0.0365, 0.742, 0.385, 0.255	NA, -, NA, NA, NA	{11.0: 43.07%, 12.0: 56.93%}	{11.0: 58.33%, 12.0: 41.67%}	{11.0: 55.28%, 12.0: 44.72%}	{11.0: 70.86%, 12.0: 29.14%}	{11.0: 73.14%, 12.0: 26.86%}
mean_sphered_cell_volume	1	23747997	23748008	1_23428614_24010498	A	{11.0: 71.79%, 12.0: 28.21%}	1.34e-8	+	intron:TCEA3:protein_coding	not	0.0	0.0										0.0707, 0.543, 0.609, 0.027, 0.0124	NA, NA, NA, +, +	{11.0: 43.07%, 12.0: 56.93%}	{11.0: 58.47%, 12.0: 41.53%}	{11.0: 55.16%, 12.0: 44.84%}	{11.0: 71.01%, 12.0: 28.99%}	{11.0: 73.20%, 12.0: 26.80%}
shbg	1	23747997	23748008	1_23477620_23955827	A	{11.0: 71.80%, 12.0: 28.20%}	1.16e-13	-	intron:TCEA3:protein_coding	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.736, 0.33, 0.222, 0.171, 0.0826	NA, NA, NA, NA, NA	{11.0: 43.07%, 12.0: 56.93%}	{11.0: 58.23%, 12.0: 41.77%}	{11.0: 55.19%, 12.0: 44.81%}	{11.0: 70.85%, 12.0: 29.15%}	{11.0: 73.18%, 12.0: 26.82%}
total_protein	1	23747997	23748008	1_23595185_23949623	A	{11.0: 71.80%, 12.0: 28.20%}	1.79e-9	-	intron:TCEA3:protein_coding	not	0.0	0.257753										0.633, 0.321, 0.793, 0.0993, 0.101	NA, NA, NA, NA, NA	{11.0: 43.14%, 12.0: 56.86%}	{11.0: 58.31%, 12.0: 41.69%}	{11.0: 55.40%, 12.0: 44.60%}	{11.0: 70.77%, 12.0: 29.23%}	{11.0: 73.12%, 12.0: 26.88%}
albumin	1	23817932	23817947	1_23595185_23949623	A	{13.0: 4.29%, 14.0: 70.81%, 15.0: 16.63%, 16.0: 8.02%, 17.0: 0.25%}	2.31e-10	-	intergenic	not	0.0	0.218016										0.244, 0.119, 0.94, 0.202, 0.48	NA, NA, NA, NA, NA	{13.0: 7.41%, 14.0: 15.43%, 15.0: 53.55%, 16.0: 23.50%, 17.0: 0.12%}	{13.0: 2.52%, 14.0: 56.33%, 15.0: 30.50%, 16.0: 8.78%, 17.0: 1.87%}	{13.0: 0.04%, 14.0: 55.92%, 15.0: 31.41%, 16.0: 12.17%, 17.0: 0.46%}	{13.0: 3.67%, 14.0: 70.37%, 15.0: 17.01%, 16.0: 8.70%, 17.0: 0.25%}	{13.0: 5.61%, 14.0: 69.88%, 15.0: 16.28%, 16.0: 7.85%, 17.0: 0.38%}
apolipoprotein_a	1	23817932	23817947	1_23566745_23949623	A	{13.0: 4.30%, 14.0: 70.80%, 15.0: 16.61%, 16.0: 8.04%, 17.0: 0.25%}	4.71e-13	-	intergenic	not	0.0	0.405531										0.47, 0.0291, 0.72, 0.509, 0.43	NA, -, NA, NA, NA	{13.0: 7.44%, 14.0: 15.52%, 15.0: 53.38%, 16.0: 23.54%, 17.0: 0.12%}	{13.0: 2.52%, 14.0: 56.55%, 15.0: 30.33%, 16.0: 8.73%, 17.0: 1.87%}	{13.0: 0.04%, 14.0: 55.82%, 15.0: 31.55%, 16.0: 12.14%, 17.0: 0.46%}	{13.0: 3.67%, 14.0: 70.40%, 15.0: 16.91%, 16.0: 8.77%, 17.0: 0.25%}	{13.0: 5.64%, 14.0: 69.80%, 15.0: 16.33%, 16.0: 7.85%, 17.0: 0.38%}
calcium	1	23817932	23817947	1_23477267_23953607	A	{13.0: 4.31%, 14.0: 70.78%, 15.0: 16.63%, 16.0: 8.03%, 17.0: 0.25%}	2.95e-16	-	intergenic	singly	0.823888415926099	0.663219										0.963, 0.11, 0.494, 0.0636, 0.155	NA, NA, NA, NA, NA	{13.0: 7.43%, 14.0: 15.37%, 15.0: 53.56%, 16.0: 23.52%, 17.0: 0.12%}	{13.0: 2.53%, 14.0: 56.43%, 15.0: 30.46%, 16.0: 8.73%, 17.0: 1.84%}	{13.0: 0.04%, 14.0: 55.83%, 15.0: 31.60%, 16.0: 12.07%, 17.0: 0.46%}	{13.0: 3.70%, 14.0: 70.32%, 15.0: 16.96%, 16.0: 8.77%, 17.0: 0.25%}	{13.0: 5.63%, 14.0: 69.83%, 15.0: 16.30%, 16.0: 7.86%, 17.0: 0.38%}
cholesterol	1	23817932	23817947	1_23622424_23949623	A	{13.0: 4.30%, 14.0: 70.81%, 15.0: 16.60%, 16.0: 8.03%, 17.0: 0.25%}	3.29e-12	-	intergenic	not	0.0	0.186942										0.194, 0.227, 0.616, 0.0563, 0.0251	NA, NA, NA, NA, -	{13.0: 7.47%, 14.0: 15.50%, 15.0: 53.30%, 16.0: 23.62%, 17.0: 0.12%}	{13.0: 2.48%, 14.0: 56.44%, 15.0: 30.28%, 16.0: 8.87%, 17.0: 1.93%}	{13.0: 0.04%, 14.0: 55.85%, 15.0: 31.84%, 16.0: 11.85%, 17.0: 0.43%}	{13.0: 3.73%, 14.0: 70.38%, 15.0: 16.96%, 16.0: 8.68%, 17.0: 0.24%}	{13.0: 5.67%, 14.0: 69.88%, 15.0: 16.29%, 16.0: 7.79%, 17.0: 0.37%}
eosinophil_count	1	23817932	23817947	1_23488344_24331053	A	{13.0: 4.31%, 14.0: 70.79%, 15.0: 16.60%, 16.0: 8.04%, 17.0: 0.26%}	1.17e-8	+	intergenic	not	0.0	0.0										0.0963, 0.793, 0.468, 0.138, 0.806	NA, NA, NA, NA, NA	{13.0: 7.45%, 14.0: 15.39%, 15.0: 53.28%, 16.0: 23.75%, 17.0: 0.12%}	{13.0: 2.44%, 14.0: 56.68%, 15.0: 30.15%, 16.0: 8.78%, 17.0: 1.95%}	{13.0: 0.04%, 14.0: 55.89%, 15.0: 31.57%, 16.0: 12.06%, 17.0: 0.44%}	{13.0: 3.78%, 14.0: 70.42%, 15.0: 17.00%, 16.0: 8.55%, 17.0: 0.24%}	{13.0: 5.64%, 14.0: 69.90%, 15.0: 16.24%, 16.0: 7.85%, 17.0: 0.37%}
gamma_glutamyltransferase	1	23817932	23817947	1_23158362_23956324	A	{13.0: 4.29%, 14.0: 70.81%, 15.0: 16.60%, 16.0: 8.04%, 17.0: 0.26%}	6.97e-22	-	intergenic	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0389, 0.7, 0.5, 0.00327, 0.0584	-, NA, NA, -, NA	{13.0: 7.48%, 14.0: 15.50%, 15.0: 53.29%, 16.0: 23.61%, 17.0: 0.12%}	{13.0: 2.48%, 14.0: 56.56%, 15.0: 30.17%, 16.0: 8.85%, 17.0: 1.93%}	{13.0: 0.04%, 14.0: 55.89%, 15.0: 31.93%, 16.0: 11.72%, 17.0: 0.42%}	{13.0: 3.72%, 14.0: 70.37%, 15.0: 16.97%, 16.0: 8.69%, 17.0: 0.24%}	{13.0: 5.66%, 14.0: 69.89%, 15.0: 16.29%, 16.0: 7.79%, 17.0: 0.37%}
hdl_cholesterol	1	23817932	23817947	1_23556232_23942932	A	{13.0: 4.29%, 14.0: 70.81%, 15.0: 16.63%, 16.0: 8.02%, 17.0: 0.25%}	6.47e-10	-	intergenic	not	0.0	0.0542673										0.806, 0.0363, 0.609, 0.773, 0.637	NA, -, NA, NA, NA	{13.0: 7.42%, 14.0: 15.47%, 15.0: 53.51%, 16.0: 23.48%, 17.0: 0.12%}	{13.0: 2.49%, 14.0: 56.54%, 15.0: 30.31%, 16.0: 8.81%, 17.0: 1.85%}	{13.0: 0.04%, 14.0: 55.80%, 15.0: 31.50%, 16.0: 12.20%, 17.0: 0.46%}	{13.0: 3.67%, 14.0: 70.37%, 15.0: 17.00%, 16.0: 8.72%, 17.0: 0.25%}	{13.0: 5.62%, 14.0: 69.84%, 15.0: 16.30%, 16.0: 7.86%, 17.0: 0.38%}
mean_corpuscular_volume	1	23817932	23817947	1_23158187_24010498	A	{13.0: 4.30%, 14.0: 70.82%, 15.0: 16.60%, 16.0: 8.02%, 17.0: 0.25%}	2.27e-11	+	intergenic	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.304, 0.371, 0.457, 0.421, 0.17	NA, NA, NA, NA, NA	{13.0: 7.50%, 14.0: 15.43%, 15.0: 53.23%, 16.0: 23.71%, 17.0: 0.12%}	{13.0: 2.46%, 14.0: 56.77%, 15.0: 30.03%, 16.0: 8.84%, 17.0: 1.90%}	{13.0: 0.04%, 14.0: 55.88%, 15.0: 31.55%, 16.0: 12.11%, 17.0: 0.43%}	{13.0: 3.77%, 14.0: 70.45%, 15.0: 17.00%, 16.0: 8.53%, 17.0: 0.24%}	{13.0: 5.63%, 14.0: 69.88%, 15.0: 16.26%, 16.0: 7.85%, 17.0: 0.38%}
